id,nombre,lat,lon,provincia,tipo
adahuesca,Adahuesca,42.1461,-0.008,Huesca,base
adalia,Adalia,41.6489,-5.1211,Valladolid,base
adamuz,Adamuz,38.0267,-4.5223,Córdoba,base
adana,Adana,42.8224,-2.4749,Araba,aldea
adanero,Adanero,40.9449,-4.6056,Ávila,base
aday,Aday,42.9767,-7.4205,Lugo,aldea
adeje,Adeje,28.1227,-16.726,Santa Cruz de Tenerife,base
adelan,Adelán,43.5167,-7.4,Lugo,aldea
adelfas,Adelfas,40.4011,-3.671,Madrid,base
ademuz,Ademuz,40.0614,-1.2868,Valencia,base
adios,Adiós,42.6863,-1.7353,Navarra,base
adoain,Adoaín,42.7906,-1.1724,Navarra,aldea
adobes,Adobes,40.6758,-1.6792,Guadalajara,base
ador,Ador,38.9182,-0.2225,Valencia,base
adra,Adra,36.7483,-3.0208,Almería,base
adrada-de-haza,Adrada de Haza,41.5945,-3.8233,Burgos,base
adrada-de-piron,Adrada de Pirón,41.0526,-4.0511,Segovia,base
adradas,Adradas,41.351,-2.4737,Soria,base
adrados,Adrados,41.3682,-4.1119,Segovia,base
adragonte,Adragonte,43.2833,-8.1333,A Coruña,aldea
adri,Adri,42.0519,2.7382,Girona,aldea
adsubia,Adsubia,38.8482,-0.1532,Alicante,base
aduanas,Aduanas,38.7962,0.182,Alicante,aldea
aduna,Aduna,43.2037,-2.0503,Gipuzkoa,base
adzaneta,Adzaneta,40.2162,-0.1703,Castellón,base
ael,Ael,42.8836,-3.3716,Burgos,aldea
aeropuerto,Aeropuerto,40.4761,-3.5586,Madrid,base
aeropuerto-viejo,Aeropuerto Viejo,37.4159,-5.9462,Sevilla,aldea
aes,Aés,43.2829,-3.9567,Cantabria,aldea
aeta,Aeta,43.0761,-2.2986,Gipuzkoa,aldea
agaete,Agaete,28.1002,-15.7,Las Palmas,base
agallas,Agallas,40.4487,-6.4418,Salamanca,base
agell,Agell,41.5346,2.4038,Barcelona,aldea
ager,Àger,42.0,0.7667,Lleida,base
ages,Agés,42.3698,-3.4794,Burgos,aldea
aginaga,Aginaga,43.2751,-2.0728,Gipuzkoa,aldea
agirre-aperribai,Agirre-Aperribai,43.2371,-2.8676,Bizkaia,aldea
agolada,Agolada,42.7925,-8.0504,Pontevedra,municipio
agon,Agón,41.8557,-1.4523,Zaragoza,base
agoncillo,Agoncillo,42.4467,-2.2898,La Rioja,base
agorreta,Agorreta,42.9457,-1.4909,Navarra,aldea
agost,Agost,38.44,-0.6384,Alicante,base
agrade,Agrade,42.5833,-7.85,Lugo,aldea
agramon,Agramón,38.4219,-1.6375,Albacete,aldea
agramunt,Agramunt,41.7869,1.0968,Lleida,base
agranzon,Agranzón,43.0684,-9.1347,A Coruña,aldea
agreda,Ágreda,41.8559,-1.9224,Soria,base
agrelo,Agrelo,42.8167,-8.8833,A Coruña,aldea
agres,Agres,38.7833,-0.5167,Alicante,base
agron,Agrón,37.0302,-3.8287,Granada,base
agua-amarga,Agua Amarga,36.94,-1.9343,Almería,aldea
agua-de-bueyes,Agua de Bueyes,28.3706,-14.0286,Las Palmas,aldea
agua-de-fontanales,Agua de Fontanales,28.0567,-15.6073,Las Palmas,aldea
agua-del-pilar,Agua del Pilar,38.3833,-6.0,Badajoz,aldea
aguada,Aguada,42.5206,-7.8804,Lugo,aldea
aguaderas,Aguaderas,37.6411,-1.6128,Murcia,aldea
aguaderico-de-rubio,Aguaderico de Rubio,37.5833,-2.4333,Granada,aldea
aguadulce,Aguadulce,37.2527,-4.9927,Sevilla,base
aguadulce-almeria,Aguadulce (Almería),36.8141,-2.5724,Almería,base
aguadux,Aguadux,37.7264,-3.3173,Jaén,aldea
aguajosa,Aguajosa,43.3888,-7.2565,Lugo,aldea
agualada,Agualada,43.1667,-8.8,A Coruña,aldea
aguamansa,Aguamansa,28.3587,-16.4963,Santa Cruz de Tenerife,aldea
aguamaroza,Aguamaroza,43.3528,-6.7447,Asturias,aldea
aguarda,Aguarda,43.2835,-7.3095,Lugo,aldea
aguaron,Aguarón,41.339,-1.2706,Zaragoza,base
aguas-candidas,Aguas Cándidas,42.7165,-3.5026,Burgos,aldea
aguas-santas,Aguas Santas,42.95,-7.85,Lugo,aldea
aguasal,Aguasal,41.2749,-4.6529,Valladolid,base
aguasantas,Aguasantas,42.4167,-8.45,Pontevedra,aldea
aguascaldas,Aguascaldas,42.4139,0.4436,Huesca,aldea
aguaton,Aguatón,40.6716,-1.2348,Teruel,base
aguatona,Aguatona,27.9353,-15.4296,Las Palmas,aldea
aguaviva,Aguaviva,40.8221,-0.1953,Teruel,base
aguaviva-de-la-vega,Aguaviva de la Vega,41.2931,-2.3818,Soria,aldea
aguaza,Aguaza,38.8103,-1.4345,Albacete,aldea
agudelo,Agudelo,42.5333,-8.65,Pontevedra,aldea
agudo,Agudo,38.9818,-4.8713,Badajoz,base
agueda-del-caudillo,Agueda del Caudillo,40.5619,-6.4994,Salamanca,aldea
aguela,Agüela,42.7285,-7.8886,Lugo,aldea
aguera,Agüera,43.4632,-5.3135,Asturias,aldea
agueria,Agüería,43.1606,-5.7372,Asturias,aldea
aguerina,Agüerina,43.2217,-6.2505,Asturias,aldea
aguero,Agüero,42.355,-0.7932,Huesca,base
agues,Agüés,43.2,-5.45,Asturias,aldea
aguiar,Aguiar,43.1167,-7.5333,Lugo,aldea
aguil,Aguil,42.3637,-7.4433,Ourense,aldea
aguilafuente,Aguilafuente,41.2267,-4.1118,Segovia,base
aguilar,Aguilar,37.5148,-4.6572,Córdoba,base
aguilar-de-anguita,Aguilar de Anguita,41.0408,-2.4093,Guadalajara,aldea
aguilar-de-bureba,Aguilar de Bureba,42.5897,-3.3291,Burgos,base
aguilar-de-campoo,Aguilar de Campoo,42.7945,-4.2589,Palencia,base
aguilar-de-campos,Aguilar de Campos,41.9838,-5.1812,Valladolid,base
aguilar-de-codes,Aguilar de Codés,42.6125,-2.3899,Navarra,base
aguilar-de-ebro,Aguilar de Ebro,41.5214,-0.5641,Zaragoza,aldea
aguilar-de-montuenga,Aguilar de Montuenga,41.2188,-2.2325,Soria,aldea
aguilar-de-segarra,Aguilar de Segarra,41.7482,1.6292,Barcelona,base
aguilar-de-tera,Aguilar de Tera,41.9851,-5.844,Zamora,aldea
aguilar-del-alfambra,Aguilar del Alfambra,40.5903,-0.7959,Teruel,base
aguilar-del-rio-alhama,Aguilar del Río Alhama,41.9621,-1.9934,La Rioja,base
aguilarejo,Aguilarejo,41.7616,-4.6236,Valladolid,aldea
aguilas,Águilas,37.4063,-1.5829,Murcia,base
aguilera,Aguilera,41.4828,-2.8913,Soria,aldea
aguillo,Aguillo,42.7379,-2.6377,Burgos,aldea
aguilo,Aguiló,41.5528,1.4184,Tarragona,aldea
aguilon,Aguilón,41.2947,-1.0463,Zaragoza,base
aguimes,Agüimes,27.9054,-15.4461,Las Palmas,base
aguinaliu,Aguinalíu,42.0965,0.3399,Huesca,aldea
aguino,Aguino,43.1063,-6.2729,Asturias,aldea
aguiones,Aguiones,42.7,-8.4667,Pontevedra,aldea
agullana,Agullana,42.3941,2.8467,Girona,base
agullent,Agullent,38.8227,-0.5483,Valencia,base
agulo,Agulo,28.1878,-17.1968,Santa Cruz de Tenerife,base
agurain-salvatierra,Agurain/Salvatierra,42.8516,-2.3912,Araba,base
agustin,Agustín,42.9564,-7.32,Lugo,aldea
agustinos,Agustinos,37.2207,-3.3445,Granada,aldea
