indicativo,nombre,provincia,altitud_m,lat,lon,dist_costa_km,grupo_costa,franja_altitud,region,dia_mas_frio,dia_mas_calido,desfase_invierno_dias,desfase_verano_dias,desfase_invierno_tmin,desfase_verano_tmin,desfase_invierno_tmax,desfase_verano_tmax,verano_termico_ini,verano_termico_fin,verano_termico_dias,invierno_termico_ini,invierno_termico_fin,invierno_termico_dias,cuartil_calido_ini,cuartil_calido_fin,amplitud_anual_c,tmed_min_c,tmed_max_c,fuente
1199X,"PILOÑA, BARGAÉU",ASTURIAS,280.0,43.3778,-5.3967,16.9,litoral,200-500,peninsula,10 de enero,13 de agosto,20,53,21,49,25,53,,,0,,,0,19 de junio,17 de septiembre,12.36,7.78,20.14,AEMET
1203D,COLUNGA,ASTURIAS,30.0,43.4922,-5.2472,0.6,litoral,<200,peninsula,20 de enero,13 de agosto,30,53,30,39,31,53,,,0,,,0,23 de junio,21 de septiembre,10.42,9.69,20.11,AEMET
1212E,ASTURIAS AEROPUERTO,ASTURIAS,127.0,43.5669,-6.0442,0.5,litoral,<200,peninsula,21 de enero,13 de agosto,31,53,30,49,31,53,,,0,,,0,23 de junio,21 de septiembre,10.19,9.49,19.68,AEMET
1221D,PAJARES-VALGRANDE,ASTURIAS,1480.0,42.9786,-5.7764,64.0,interior,>1200,peninsula,20 de enero,13 de agosto,30,53,31,53,29,52,,,0,5 de noviembre,17 de abril,164,11 de junio,9 de septiembre,12.84,2.06,14.91,AEMET
1234P,"MIERES, BAIÑA",ASTURIAS,170.0,43.275,-5.8192,32.6,interior,<200,peninsula,10 de enero,13 de agosto,20,53,19,55,20,53,,,0,,,0,20 de junio,18 de septiembre,12.91,8.47,21.38,AEMET
1249X,OVIEDO,ASTURIAS,334.0,43.3533,-5.8739,25.1,litoral,200-500,peninsula,15 de enero,13 de agosto,25,53,21,50,25,53,,,0,,,0,20 de junio,18 de septiembre,11.93,8.3,20.23,AEMET
1272B,"TINEO, SOUTU",ASTURIAS,280.0,43.2903,-6.3867,28.8,litoral,200-500,peninsula,9 de enero,13 de agosto,19,53,19,51,18,49,,,0,,,0,18 de junio,16 de septiembre,14.5,6.88,21.38,AEMET
1279X,"SALAS, CAMUÑO",ASTURIAS,240.0,43.425,-6.2308,15.6,litoral,200-500,peninsula,15 de enero,13 de agosto,25,53,20,53,25,53,,,0,,,0,22 de junio,20 de septiembre,11.6,8.8,20.4,AEMET
1327A,"VILLAYÓN, ONETA",ASTURIAS,410.0,43.4656,-6.6733,10.5,litoral,200-500,peninsula,15 de enero,13 de agosto,25,53,30,53,25,53,,,0,,,0,24 de junio,22 de septiembre,10.46,8.26,18.72,AEMET
1341B,"TARAMUNDI, OURIA",ASTURIAS,340.0,43.4156,-7.0611,14.9,litoral,200-500,peninsula,20 de enero,13 de agosto,30,53,30,48,25,53,,,0,,,0,25 de junio,23 de septiembre,10.12,8.41,18.53,AEMET
1363X,AS PONTES,A CORUÑA,343.0,43.4458,-7.8614,29.6,litoral,200-500,peninsula,15 de enero,13 de agosto,25,53,20,49,25,53,,,0,,,0,20 de junio,18 de septiembre,12.08,7.47,19.55,AEMET
1505,LUGO AEROPUERTO,LUGO,442.0,43.1111,-7.4575,52.7,interior,200-500,peninsula,10 de enero,13 de agosto,20,53,20,35,19,53,,,0,,,0,18 de junio,12 de septiembre,13.55,6.53,20.08,AEMET
1521I,O PÁRAMO,LUGO,403.0,42.8453,-7.4994,82.0,interior,200-500,peninsula,10 de enero,13 de agosto,20,53,20,34,19,53,,,0,,,0,18 de junio,15 de septiembre,14.71,6.48,21.19,AEMET
5860E,"MOGUER, EL ARENOSILLO",HUELVA,41.0,37.0981,-6.7381,0.9,litoral,<200,peninsula,14 de enero,13 de agosto,24,53,24,53,25,52,23 de junio,19 de septiembre,89,,,0,22 de junio,20 de septiembre,12.54,11.68,24.22,AEMET
6001,TARIFA,CADIZ,45.0,36.0144,-5.5972,0.6,litoral,<200,peninsula,14 de enero,13 de agosto,24,53,24,52,31,53,29 de junio,19 de septiembre,83,,,0,26 de junio,24 de septiembre,11.15,12.92,24.07,AEMET
6172X,MÁLAGA,MALAGA,25.0,36.7167,-4.4197,0.7,litoral,<200,peninsula,15 de enero,13 de agosto,25,53,24,54,25,43,29 de mayo,11 de octubre,136,,,0,19 de junio,17 de septiembre,13.08,14.09,27.17,AEMET
6175X,RINCÓN DE LA VICTORIA,MALAGA,7.0,36.715,-4.2861,0.7,litoral,<200,peninsula,15 de enero,13 de agosto,25,53,24,54,30,53,18 de mayo,19 de octubre,155,,,0,22 de junio,20 de septiembre,13.46,15.0,28.46,AEMET
6201X,ALGARROBO,MALAGA,35.0,36.7558,-4.0439,0.7,litoral,<200,peninsula,14 de enero,13 de agosto,24,53,23,53,30,53,9 de junio,3 de octubre,117,,,0,21 de junio,19 de septiembre,13.34,13.03,26.37,AEMET
6267X,SALOBREÑA,GRANADA,20.0,36.7483,-3.5786,0.9,litoral,<200,peninsula,15 de enero,13 de agosto,25,53,25,54,25,53,16 de junio,26 de septiembre,103,,,0,21 de junio,19 de septiembre,12.85,12.73,25.58,AEMET
6268Y,"MOTRIL, PUERTO",GRANADA,3.0,36.7239,-3.5292,0.4,litoral,<200,peninsula,8 de enero,13 de agosto,18,53,16,53,18,53,4 de junio,6 de octubre,125,,,0,20 de junio,18 de septiembre,12.63,13.81,26.44,AEMET
6272X,CASTELL DE FERRO,GRANADA,235.0,36.7342,-3.38,1.0,litoral,200-500,peninsula,15 de enero,13 de agosto,25,53,23,53,25,43,2 de junio,3 de octubre,124,,,0,18 de junio,16 de septiembre,14.05,13.05,27.1,AEMET
6277B,ADRA,ALMERIA,8.0,36.7472,-3.0206,0.3,litoral,<200,peninsula,13 de enero,13 de agosto,23,53,23,53,23,55,1 de junio,8 de octubre,130,,,0,23 de junio,21 de septiembre,12.85,13.87,26.72,AEMET
6325O,ALMERÍA AEROPUERTO,ALMERIA,21.0,36.8464,-2.3569,0.8,litoral,<200,peninsula,10 de enero,13 de agosto,20,53,18,53,23,53,28 de mayo,11 de octubre,137,,,0,21 de junio,19 de septiembre,15.21,13.07,28.28,AEMET
6329X,CABO DE GATA,ALMERIA,42.0,36.7219,-2.1931,0.9,litoral,<200,peninsula,15 de enero,13 de agosto,25,53,31,53,25,53,31 de mayo,12 de octubre,135,,,0,22 de junio,20 de septiembre,13.06,14.41,27.47,AEMET
6332Y,CARBONERAS,ALMERIA,222.0,36.9422,-1.9069,0.4,litoral,200-500,peninsula,27 de enero,13 de agosto,37,53,37,53,37,40,3 de junio,10 de octubre,130,,,0,18 de junio,16 de septiembre,14.18,13.28,27.46,AEMET
6340X,GARRUCHA,ALMERIA,28.0,37.1692,-1.8286,0.8,litoral,<200,peninsula,8 de enero,13 de agosto,18,53,18,52,24,54,6 de junio,6 de octubre,123,,,0,21 de junio,19 de septiembre,14.24,12.61,26.85,AEMET
