indicativo,nombre,provincia,altitud_m,lat,lon,dist_costa_km,grupo_costa,franja_altitud,n_veranos,anio_ini,anio_fin,noches_posibles,nivel_partida,nivel_final,cambio_absoluto,pendiente_noches_anio,ic95_inf,ic95_sup,ic95_excluye_cero,r2,error_std,cerca_del_techo,posible_inhomogeneidad,salto_max_veranos,serie,fuente
3562X,ALISEDA,CACERES,321.0,39.4275,-6.7364,136.9,interior,200-500,10,2017,2026,81,16.33,28.33,12.0,1.3939,-0.5104,3.2983,no,0.2626,0.8258,no,no,19.0,2017:25;2018:14;2019:10;2020:24;2021:11;2022:30;2023:17;2024:23;2025:34;2026:28,AEMET
5304Y,PUERTOLLANO,CIUDAD REAL,665.0,38.6689,-4.0592,213.4,interior,500-800,8,2019,2026,81,29.33,41.33,12.0,2.2619,0.2337,4.2901,si,0.5538,0.8288,no,no,17.0,2019:27;2020:37;2021:24;2022:41;2023:39;2024:36;2025:43;2026:45,AEMET
6040X,CORTES DE LA FRONTERA,MALAGA,315.0,36.5444,-5.3864,23.1,litoral,200-500,9,2017,2026,81,5.0,17.0,12.0,1.8973,0.8355,2.9591,si,0.7184,0.449,no,no,11.0,2017:5;2018:2;2019:8;2020:9;2021:11;2023:22;2024:16;2025:12;2026:23,AEMET
9562X,MORELLA,CASTELLON,990.0,40.6217,-0.1019,49.8,interior,800-1200,10,2017,2026,81,7.67,19.67,12.0,1.8545,0.6282,3.0809,si,0.6032,0.5318,no,no,15.0,2017:7;2018:3;2019:13;2020:8;2021:5;2022:20;2023:11;2024:17;2025:16;2026:26,AEMET
9563X,CASTELLFORT,CASTELLON,1220.0,40.4986,-0.1867,48.0,interior,>1200,9,2017,2026,81,5.33,17.33,12.0,1.6824,0.4814,2.8833,si,0.6106,0.5078,no,no,10.0,2017:8;2018:5;2020:3;2021:4;2022:14;2023:9;2024:12;2025:17;2026:23,AEMET
B569X,CAPDEPERA,BALEARES,57.0,39.7167,3.4781,1.6,litoral,<200,8,2017,2026,81,62.33,74.33,12.0,1.8148,0.6039,3.0258,si,0.6915,0.4949,no,no,11.0,2017:63;2019:58;2020:66;2021:68;2022:72;2024:69;2025:80;2026:74,AEMET
C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",LAS PALMAS,269.0,28.0781,-15.4533,3.3,litoral,200-500,10,2017,2026,81,5.0,17.0,12.0,2.2242,-0.2181,4.6666,no,0.3554,1.0591,no,no,29.0,2017:11;2018:2;2019:2;2020:4;2021:4;2022:6;2023:35;2024:8;2025:16;2026:27,AEMET
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177.0,41.3303,1.6769,13.3,litoral,<200,10,2017,2026,81,17.67,29.33,11.67,2.103,0.2547,3.9514,si,0.4625,0.8015,no,no,15.0,2017:19;2018:18;2019:16;2020:15;2021:10;2022:19;2023:34;2024:19;2025:29;2026:40,AEMET
4452,BADAJOZ AEROPUERTO,BADAJOZ,186.0,38.8833,-6.8139,76.1,interior,<200,10,2017,2026,81,10.33,22.0,11.67,1.497,-0.5734,3.5674,no,0.2579,0.8978,no,no,24.0,2017:17;2018:11;2019:3;2020:19;2021:3;2022:27;2023:15;2024:14;2025:29;2026:23,AEMET
4541X,EL GRANADO,HUELVA,60.0,37.5536,-7.52,0.4,litoral,<200,9,2017,2026,81,8.33,20.0,11.67,1.5708,0.0547,3.087,si,0.4617,0.6411,no,no,15.0,2017:12;2018:9;2019:4;2020:16;2021:4;2022:19;2024:14;2025:25;2026:21,AEMET
5911A,GRAZALEMA,CADIZ,913.0,36.7606,-5.3742,41.4,interior,800-1200,9,2017,2026,81,9.0,20.67,11.67,1.7458,-0.3194,3.8111,no,0.3635,0.8733,no,no,19.0,2017:16;2018:8;2019:3;2020:13;2021:9;2022:25;2024:8;2025:27;2026:27,AEMET
7158X,ARCHENA,MURCIA,150.0,38.1281,-1.3058,54.7,interior,<200,9,2017,2025,81,47.0,58.67,11.67,1.9333,-0.7026,4.5692,no,0.3006,1.1146,no,no,13.0,2017:50;2018:46;2019:45;2020:35;2021:36;2022:47;2023:60;2024:52;2025:64,AEMET
8414A,VALENCIA AEROPUERTO,VALENCIA,56.0,39.485,-0.4747,13.3,litoral,<200,10,2017,2026,81,52.67,64.33,11.67,1.7939,0.5629,3.025,si,0.5853,0.5338,no,no,14.0,2017:50;2018:55;2019:53;2020:52;2021:45;2022:59;2023:61;2024:61;2025:69;2026:63,AEMET
9501X,VALMADRID,ZARAGOZA,535.0,41.4431,-0.8858,152.5,interior,500-800,9,2017,2026,81,2.67,14.33,11.67,1.7548,0.4862,3.0234,si,0.6046,0.5364,no,no,10.0,2017:3;2019:4;2020:1;2021:3;2022:13;2023:4;2024:9;2025:13;2026:21,AEMET
3195,"MADRID, RETIRO",MADRID,667.0,40.4114,-3.6778,302.4,interior,500-800,10,2017,2026,81,41.0,52.33,11.33,1.9818,-0.4482,4.4118,no,0.3066,1.0538,no,no,22.0,2017:46;2018:35;2019:42;2020:36;2021:24;2022:46;2023:45;2024:39;2025:55;2026:63,AEMET
3504X,HERVÁS,CACERES,724.0,40.265,-5.8611,247.7,interior,500-800,10,2017,2026,81,7.33,18.67,11.33,1.3394,-0.4872,3.166,no,0.2633,0.7921,no,no,-21.0,2017:9;2018:7;2019:6;2020:13;2021:7;2022:25;2023:4;2024:15;2025:27;2026:14,AEMET
4608X,EL CAMPILLO,HUELVA,415.0,37.6772,-6.63,50.7,interior,200-500,9,2017,2026,81,19.67,31.0,11.33,1.5149,-0.6899,3.7196,no,0.2739,0.9322,no,no,20.0,2017:30;2018:16;2019:13;2020:31;2021:16;2023:36;2024:23;2025:37;2026:33,AEMET
5346X,CARDEÑA,CORDOBA,720.0,38.1867,-4.2725,160.7,interior,500-800,9,2017,2026,81,17.33,28.67,11.33,1.3968,-1.204,3.9975,no,0.1873,1.0997,no,no,23.0,2017:29;2018:9;2019:14;2020:29;2021:12;2022:35;2023:31;2024:26;2026:29,AEMET
6127X,ÁLORA,MALAGA,172.0,36.8547,-4.6967,29.3,litoral,<200,8,2017,2026,81,46.33,57.67,11.33,1.6513,-0.2701,3.5726,no,0.4243,0.7852,no,no,13.0,2017:50;2019:47;2021:42;2022:50;2023:61;2024:49;2025:62;2026:62,AEMET
6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54.0,36.7178,-4.4817,4.8,litoral,<200,10,2017,2026,81,58.0,69.33,11.33,1.7091,-0.0522,3.4704,no,0.385,0.7638,no,no,-15.0,2017:66;2018:51;2019:57;2020:59;2021:52;2022:57;2023:70;2024:61;2025:74;2026:73,AEMET
8059C,ALCOI/ALCOY,ALICANTE,530.0,38.7108,-0.46,29.1,litoral,500-800,9,2017,2026,81,25.33,36.67,11.33,1.7574,0.1393,3.3754,si,0.4852,0.6841,no,no,14.0,2017:29;2018:25;2020:22;2021:22;2022:28;2023:42;2024:31;2025:38;2026:41,AEMET
B087X,BANYALBUFAR,BALEARES,60.0,39.6892,2.5128,0.6,litoral,<200,10,2017,2026,81,58.67,70.0,11.33,1.697,0.4149,2.9791,si,0.538,0.556,no,no,14.0,2017:62;2018:59;2019:55;2020:60;2021:60;2022:72;2023:70;2024:63;2025:77;2026:70,AEMET
B228,"PALMA, PUERTO",BALEARES,3.0,39.5542,2.6253,0.6,litoral,<200,10,2017,2026,81,62.0,73.33,11.33,1.5576,0.3521,2.763,si,0.526,0.5227,no,no,-8.0,2017:64;2018:63;2019:59;2020:65;2021:72;2022:78;2023:74;2024:72;2025:78;2026:70,AEMET
C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64.0,28.0469,-16.5611,1.9,litoral,<200,10,2017,2026,81,42.67,54.0,11.33,1.5091,-1.6171,4.6353,no,0.1341,1.3557,no,no,-27.0,2017:57;2018:37;2019:34;2020:60;2021:33;2022:44;2023:64;2024:41;2025:63;2026:58,AEMET
C916Q,"EL PINAR, DEPÓSITO",SANTA CRUZ DE TENERIFE,948.0,27.7189,-17.9781,1.8,litoral,800-1200,10,2017,2026,81,12.0,23.33,11.33,1.1273,-0.4138,2.6683,no,0.2624,0.6683,no,si,17.0,2017:21;2018:8;2019:7;2020:24;2021:23;2022:17;2023:22;2024:27;2025:22;2026:21,AEMET
3305Y,NAVAHERMOSA,TOLEDO,750.0,39.6306,-4.4769,267.3,interior,500-800,9,2017,2026,81,21.33,32.33,11.0,1.6,-0.4413,3.6413,no,0.3293,0.8631,no,no,24.0,2017:29;2018:15;2019:20;2020:27;2021:17;2022:41;2024:27;2025:34;2026:36,AEMET
4116I,ALMAGRO / FAMET,CIUDAD REAL,626.0,38.9508,-3.7419,244.8,interior,500-800,10,2017,2026,81,21.0,32.0,11.0,1.9697,-0.5469,4.4862,no,0.2894,1.0913,no,no,19.0,2017:25;2018:13;2019:25;2020:7;2021:8;2022:10;2023:29;2024:27;2025:29;2026:40,AEMET
4560Y,ALAJAR,HUELVA,572.0,37.8686,-6.675,33.6,interior,500-800,10,2017,2026,81,18.67,29.67,11.0,1.3576,-0.4554,3.1705,no,0.2715,0.7862,no,no,18.0,2017:29;2018:14;2019:13;2020:31;2021:18;2022:31;2023:35;2024:29;2025:31;2026:29,AEMET
6057X,MANILVA,MALAGA,140.0,36.3783,-5.26,2.8,litoral,<200,9,2017,2026,81,44.0,55.0,11.0,1.9132,-0.6781,4.5046,no,0.3034,1.0957,no,no,-23.0,2017:54;2018:31;2020:47;2021:37;2022:53;2023:61;2024:45;2025:61;2026:59,AEMET
7237E,MOLINA DE SEGURA,MURCIA,170.0,38.1389,-1.1586,44.0,interior,<200,10,2017,2026,81,36.33,47.33,11.0,1.9152,-0.1219,3.9522,no,0.3701,0.8834,no,si,20.0,2017:38;2018:35;2019:36;2020:30;2021:23;2022:32;2023:52;2024:43;2025:49;2026:50,AEMET
8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43.0,38.2828,-0.5708,4.4,litoral,<200,10,2017,2026,81,55.67,66.67,11.0,2.0182,0.1515,3.8848,si,0.4373,0.8095,no,no,18.0,2017:56;2018:56;2019:55;2020:47;2021:43;2022:61;2023:67;2024:59;2025:69;2026:72,AEMET
8472A,MONTANEJOS,CASTELLON,601.0,40.0878,-0.5469,46.4,interior,500-800,9,2017,2025,81,3.0,14.0,11.0,1.7167,0.4986,2.9347,si,0.6135,0.515,no,si,-10.0,2017:4;2018:3;2019:2;2020:2;2021:5;2022:10;2023:18;2024:8;2025:16,AEMET
9491X,ALMUDÉVAR,HUESCA,390.0,42.0294,-0.5858,168.1,interior,200-500,10,2017,2026,81,3.33,14.33,11.0,1.7455,0.7258,2.7652,si,0.6607,0.4422,no,si,14.0,2017:5;2018:1;2019:4;2020:3;2021:2;2022:16;2023:12;2024:11;2025:12;2026:20,AEMET
9550C,"ANDORRA, HORCALLANA",TERUEL,762.0,40.9744,-0.4078,91.3,interior,500-800,9,2017,2026,81,13.0,24.0,11.0,2.1897,0.2568,4.1226,si,0.5063,0.8173,no,no,19.0,2017:13;2018:8;2019:18;2020:9;2021:6;2022:25;2023:14;2025:23;2026:35,AEMET
9650X,ARTESA DE SEGRE,LLEIDA,400.0,41.8814,1.1086,83.8,interior,200-500,10,2017,2026,81,6.0,17.0,11.0,1.6485,0.0727,3.2243,si,0.4211,0.6834,no,si,22.0,2017:8;2018:6;2019:4;2020:5;2021:4;2022:10;2023:8;2024:13;2025:8;2026:30,AEMET
9771C,LLEIDA,LLEIDA,186.0,41.6261,0.5981,72.0,interior,<200,9,2017,2025,81,23.0,34.0,11.0,2.1667,-0.2439,4.5772,no,0.3923,1.0193,no,si,27.0,2017:25;2018:19;2019:25;2020:23;2021:14;2022:41;2023:30;2024:29;2025:43,AEMET
9772X,LA POBLA DE CÉRVOLES,LLEIDA,673.0,41.3661,0.9136,34.6,interior,500-800,10,2017,2026,81,18.0,29.0,11.0,2.0788,-0.0755,4.233,no,0.3823,0.9342,no,no,24.0,2017:20;2018:12;2019:22;2020:14;2021:9;2022:33;2023:28;2024:22;2025:22;2026:43,AEMET
9866C,BARBASTRO,HUESCA,305.0,42.0214,0.1406,129.6,interior,200-500,10,2017,2026,81,3.67,14.67,11.0,1.7152,0.6313,2.799,si,0.6247,0.47,no,si,15.0,2017:3;2018:4;2019:4;2020:5;2021:3;2022:13;2023:9;2024:5;2025:20;2026:19,AEMET
C439J,GÜÍMAR,SANTA CRUZ DE TENERIFE,115.0,28.3183,-16.3822,1.2,litoral,<200,10,2017,2026,81,15.67,26.67,11.0,1.6788,0.1335,3.2241,si,0.4396,0.6701,no,no,13.0,2017:20;2018:14;2019:13;2020:26;2021:16;2022:27;2023:35;2024:23;2025:23;2026:34,AEMET
1052A,MUTRIKU,GIPUZKOA,150.0,43.3172,-2.3972,0.8,litoral,<200,10,2017,2026,81,5.33,16.0,10.67,1.8,-0.4009,4.0009,no,0.3078,0.9544,no,si,24.0,2017:3;2018:6;2019:7;2020:5;2021:0;2022:14;2023:2;2024:4;2025:10;2026:34,AEMET
3519X,PLASENCIA,CACERES,415.0,40.0431,-6.0858,217.6,interior,200-500,9,2017,2025,81,34.0,44.67,10.67,1.65,-1.9826,5.2826,no,0.1415,1.536,no,no,28.0,2017:50;2018:29;2019:23;2020:38;2021:22;2022:50;2023:37;2024:42;2025:55,AEMET
4210Y,ABENÓJAR,CIUDAD REAL,718.0,38.8981,-4.2919,239.6,interior,500-800,9,2017,2026,81,14.33,25.0,10.67,1.2875,-0.8264,3.4014,no,0.2286,0.8938,no,no,19.0,2017:24;2018:7;2019:12;2021:11;2022:30;2023:15;2024:22;2025:31;2026:22,AEMET
4486X,OLIVENZA,BADAJOZ,275.0,38.6975,-7.0844,54.7,interior,200-500,10,2017,2026,81,10.67,21.33,10.67,1.1697,-1.2208,3.5601,no,0.1373,1.0366,no,no,24.0,2017:20;2018:8;2019:4;2020:22;2021:5;2022:22;2023:12;2024:11;2025:35;2026:18,AEMET
5515D,VÍZNAR,GRANADA,1258.0,37.2369,-3.5506,54.3,interior,>1200,10,2017,2026,81,25.67,36.33,10.67,1.9394,-0.6336,4.5124,no,0.2741,1.1158,no,no,31.0,2017:30;2018:8;2019:39;2020:28;2021:16;2022:34;2023:36;2024:25;2025:41;2026:43,AEMET
7023X,FUENTE ÁLAMO DE MURCIA,MURCIA,140.0,37.7264,-1.1672,16.5,litoral,<200,10,2017,2026,81,52.33,63.0,10.67,1.8061,-0.1008,3.7129,no,0.3735,0.8269,no,no,-12.0,2017:58;2018:49;2019:50;2020:38;2021:48;2022:51;2023:63;2024:58;2025:67;2026:64,AEMET
8409X,LLÍRIA,VALENCIA,198.0,39.6639,-0.6539,32.2,interior,<200,9,2017,2026,81,18.0,28.67,10.67,2.0838,-0.4081,4.5757,no,0.3585,1.0537,no,no,-25.0,2017:21;2018:22;2019:11;2020:10;2022:28;2023:41;2024:16;2025:33;2026:37,AEMET
8446Y,SAGUNT/SAGUNTO,VALENCIA,24.0,39.7008,-0.2589,5.0,litoral,<200,10,2017,2026,81,36.33,47.0,10.67,1.7394,-0.0659,3.5447,no,0.3816,0.7829,no,no,-14.0,2017:41;2018:39;2019:29;2020:33;2021:33;2022:43;2023:54;2024:40;2025:54;2026:47,AEMET
9946X,HORTA DE SANT JOAN,TARRAGONA,495.0,40.9531,0.3117,38.9,interior,200-500,9,2017,2026,81,12.33,23.0,10.67,1.9162,0.4843,3.3481,si,0.5886,0.6054,no,no,11.0,2017:12;2018:7;2019:18;2020:7;2022:18;2023:21;2024:14;2025:23;2026:32,AEMET
9961X,CABACÉS,TARRAGONA,363.0,41.2494,0.7353,30.8,interior,200-500,10,2017,2026,81,33.0,43.67,10.67,1.9091,-0.191,4.0092,no,0.3545,0.9107,no,si,24.0,2017:36;2018:30;2019:33;2020:25;2021:21;2022:45;2023:36;2024:34;2025:43;2026:54,AEMET
B870C,"CIUTADELLA, CALA GALDANA",BALEARES,43.0,39.9447,3.9567,0.6,litoral,<200,9,2017,2026,81,18.67,29.33,10.67,2.1216,-0.4656,4.7088,no,0.3495,1.094,no,no,26.0,2017:23;2018:13;2019:20;2020:9;2022:35;2023:38;2024:26;2025:19;2026:43,AEMET
C668V,AGAETE - SUERTE ALTA,LAS PALMAS,352.0,28.0944,-15.675,2.5,litoral,200-500,9,2018,2026,81,7.33,18.0,10.67,2.2,0.6468,3.7532,si,0.6158,0.6568,no,no,16.0,2018:4;2019:7;2020:11;2021:10;2022:11;2023:22;2024:12;2025:13;2026:29,AEMET
4410X,MÉRIDA,BADAJOZ,228.0,38.9158,-6.3856,93.5,interior,200-500,9,2017,2026,81,7.0,17.33,10.33,1.6083,-0.5993,3.816,no,0.2978,0.9335,no,no,17.0,2017:13;2018:7;2019:1;2021:4;2022:19;2023:11;2024:3;2025:20;2026:29,AEMET
4549Y,AYAMONTE,HUELVA,3.0,37.1947,-7.395,0.7,litoral,<200,9,2017,2026,81,26.67,37.0,10.33,1.9435,-0.6872,4.5743,no,0.3037,1.1124,no,no,19.0,2017:29;2019:21;2020:30;2021:17;2022:36;2023:52;2024:35;2025:40;2026:36,AEMET
5769X,CALA,HUELVA,618.0,37.9736,-6.3222,58.5,interior,500-800,10,2017,2026,81,9.67,20.0,10.33,1.3333,-0.0248,2.6915,no,0.3905,0.589,no,no,15.0,2017:15;2018:7;2019:7;2020:22;2021:7;2022:18;2023:22;2024:18;2025:20;2026:22,AEMET
6106X,ANTEQUERA,MALAGA,408.0,37.0294,-4.7483,45.7,interior,200-500,8,2017,2024,81,24.33,34.67,10.33,0.6071,-4.384,5.5982,no,0.0146,2.0397,no,no,-32.0,2017:47;2018:15;2019:11;2020:30;2021:22;2022:40;2023:36;2024:28,AEMET
7172X,MULA,MURCIA,255.0,38.0414,-1.4492,54.4,interior,200-500,9,2017,2025,81,33.0,43.33,10.33,1.3167,-1.4228,4.0561,no,0.1558,1.1583,no,si,23.0,2017:39;2018:30;2019:30;2020:22;2021:25;2022:28;2023:51;2024:39;2025:40,AEMET
7244X,ORIHUELA,ALICANTE,26.0,38.0678,-0.9814,26.6,litoral,<200,10,2017,2026,81,48.67,59.0,10.33,1.7091,-0.0375,3.4557,no,0.3889,0.7574,no,no,12.0,2017:55;2018:45;2019:46;2020:40;2021:43;2022:50;2023:62;2024:54;2025:64;2026:59,AEMET
8058Y,MIRAMAR,VALENCIA,12.0,38.9503,-0.1378,1.9,litoral,<200,10,2017,2026,81,61.33,71.67,10.33,1.4727,0.3546,2.5908,si,0.5356,0.4849,no,no,12.0,2017:60;2018:65;2019:59;2020:63;2021:68;2022:74;2023:69;2024:67;2025:79;2026:69,AEMET
8178D,ALBACETE,ALBACETE,674.0,39.0056,-1.8622,138.6,interior,500-800,10,2017,2026,81,19.0,29.33,10.33,1.6667,0.16,3.1733,si,0.4486,0.6534,no,no,12.0,2017:26;2018:17;2019:14;2020:17;2021:21;2022:23;2023:35;2024:24;2025:27;2026:37,AEMET
9336D,CASTEJON DE VALDEJASA,ZARAGOZA,543.0,41.9842,-0.9958,157.2,interior,500-800,10,2017,2026,81,6.67,17.0,10.33,1.6061,-0.0782,3.2904,no,0.3767,0.7304,no,no,17.0,2017:9;2018:1;2019:10;2020:8;2021:5;2022:19;2023:6;2024:10;2025:12;2026:29,AEMET
9924X,FRAGA,HUESCA,170.0,41.5247,0.3556,74.7,interior,<200,10,2017,2026,81,32.67,43.0,10.33,1.7576,-0.0704,3.5856,no,0.3806,0.7927,no,no,22.0,2017:31;2018:34;2019:33;2020:32;2021:21;2022:43;2023:35;2024:32;2025:46;2026:51,AEMET
C048W,TINAJO,LAS PALMAS,275.0,29.0425,-13.6808,4.2,litoral,200-500,10,2017,2026,81,2.0,12.33,10.33,1.7818,0.4502,3.1134,si,0.5434,0.5774,no,si,14.0,2017:4;2018:1;2019:1;2020:2;2021:3;2022:4;2023:18;2024:4;2025:12;2026:21,AEMET
C248E,ANTIGUA,LAS PALMAS,252.0,28.4169,-14.0192,9.9,litoral,200-500,8,2018,2025,81,2.0,12.33,10.33,1.7143,-0.0437,3.4723,no,0.4869,0.7184,no,si,-13.0,2018:2;2019:2;2020:2;2021:4;2022:7;2023:19;2024:6;2025:12,AEMET
C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",LAS PALMAS,1220.0,27.9267,-15.5997,17.1,litoral,>1200,10,2017,2026,81,31.0,41.33,10.33,1.1091,-0.5329,2.751,no,0.2327,0.712,no,si,23.0,2017:34;2018:31;2019:28;2020:51;2021:38;2022:47;2023:40;2024:41;2025:41;2026:42,AEMET
0367,GIRONA AEROPUERTO,GIRONA,143.0,41.9114,2.7631,24.0,litoral,<200,9,2017,2026,81,11.33,21.33,10.0,1.4667,0.1278,2.8055,si,0.4895,0.5661,no,no,13.0,2017:14;2018:9;2019:11;2021:4;2022:17;2023:14;2024:17;2025:20;2026:27,AEMET
3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,40.3756,-3.7861,310.0,interior,500-800,10,2017,2026,81,33.67,43.67,10.0,1.7636,-0.1945,3.7218,no,0.3503,0.8491,no,no,23.0,2017:37;2018:27;2019:37;2020:32;2021:25;2022:48;2023:38;2024:35;2025:41;2026:55,AEMET
3268C,ALPEDRETE,MADRID,924.0,40.6597,-4.0175,303.9,interior,800-1200,10,2017,2026,81,13.33,23.33,10.0,1.4606,-0.2351,3.1563,no,0.3303,0.7354,no,no,18.0,2017:19;2018:4;2019:17;2020:14;2021:8;2022:26;2023:13;2024:19;2025:22;2026:29,AEMET
3526X,CORIA,CACERES,313.0,40.0036,-6.5575,202.6,interior,200-500,10,2017,2026,81,25.0,35.0,10.0,1.1697,-1.1537,3.4931,no,0.1442,1.0076,no,no,28.0,2017:34;2018:22;2019:19;2020:35;2021:14;2022:42;2023:28;2024:30;2025:42;2026:33,AEMET
4263X,VALSEQUILLO,CORDOBA,575.0,38.4094,-5.3506,142.4,interior,500-800,9,2017,2025,81,8.0,18.0,10.0,1.75,0.0006,3.4994,si,0.4443,0.7397,no,no,15.0,2017:8;2018:7;2019:9;2020:19;2021:7;2022:15;2023:11;2024:14;2025:29,AEMET
4478X,BADAJOZ,BADAJOZ,174.0,38.8861,-7.0094,75.2,interior,<200,10,2017,2026,81,8.67,18.67,10.0,1.3636,-0.4169,3.1442,no,0.2805,0.7721,no,no,18.0,2017:14;2018:9;2019:3;2020:12;2021:2;2022:20;2023:13;2024:10;2025:28;2026:18,AEMET
5702X,CARMONA,SEVILLA,50.0,37.5656,-5.7406,94.7,interior,<200,9,2017,2026,81,19.67,29.67,10.0,1.0486,-1.7911,3.8884,no,0.0983,1.2007,no,no,28.0,2017:29;2018:15;2019:15;2020:43;2022:39;2023:27;2024:18;2025:39;2026:32,AEMET
5960,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27.0,36.7506,-6.0558,24.9,litoral,<200,10,2017,2026,81,7.0,17.0,10.0,1.4303,0.0666,2.794,si,0.4224,0.5914,no,no,15.0,2017:12;2018:4;2019:5;2020:11;2021:5;2022:18;2023:12;2024:8;2025:23;2026:20,AEMET
7002Y,ÁGUILAS,MURCIA,32.0,37.4172,-1.5869,1.7,litoral,<200,10,2017,2026,81,63.67,73.67,10.0,1.4303,0.3546,2.506,si,0.5403,0.4665,no,no,9.0,2017:69;2018:63;2019:59;2020:62;2021:64;2022:67;2023:71;2024:68;2025:77;2026:76,AEMET
7178I,MURCIA,MURCIA,62.0,38.0019,-1.1708,38.1,interior,<200,10,2017,2026,81,59.0,69.0,10.0,1.6606,0.5249,2.7963,si,0.587,0.4925,no,no,10.0,2017:60;2018:59;2019:58;2020:53;2021:54;2022:64;2023:67;2024:64;2025:71;2026:72,AEMET
8416Y,"VALÈNCIA, VIVEROS",VALENCIA,13.0,39.4808,-0.3661,4.0,litoral,<200,9,2017,2025,81,58.67,68.67,10.0,1.6167,0.1566,3.0767,si,0.4949,0.6174,no,no,13.0,2017:61;2018:60;2019:55;2020:61;2021:55;2022:68;2023:68;2024:64;2025:74,AEMET
9299X,TARAZONA,ZARAGOZA,475.0,41.915,-1.7233,154.0,interior,200-500,10,2017,2026,81,2.33,12.33,10.0,1.5273,0.476,2.5785,si,0.5838,0.4559,no,no,13.0,2017:3;2018:2;2019:2;2020:2;2021:2;2022:15;2023:5;2024:7;2025:12;2026:18,AEMET
C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",LAS PALMAS,960.0,27.92,-15.5742,15.4,litoral,800-1200,10,2017,2026,81,27.67,37.67,10.0,1.0182,-0.6917,2.7281,no,0.1907,0.7415,no,si,24.0,2017:34;2018:27;2019:22;2020:46;2021:33;2022:43;2023:36;2024:38;2025:36;2026:39,AEMET
0009X,ALFORJA,TARRAGONA,406.0,41.2139,0.9633,17.2,litoral,200-500,8,2017,2026,81,5.0,14.67,9.67,1.5894,0.5154,2.6634,si,0.6861,0.4389,no,si,9.0,2017:5;2018:6;2019:4;2020:3;2022:6;2023:9;2025:13;2026:22,AEMET
0294B,LA BISBAL (D'EMPORDA 3),GIRONA,51.0,41.9678,3.0422,13.1,litoral,<200,9,2017,2025,81,22.33,32.0,9.67,1.8333,-0.3633,4.03,no,0.3576,0.9288,no,si,23.0,2017:24;2018:18;2019:25;2020:18;2021:12;2022:35;2023:32;2024:27;2025:37,AEMET
1208H,"GIJÓN, PUERTO",ASTURIAS,5.0,43.5597,-5.7008,0.9,litoral,<200,10,2017,2026,81,5.33,15.0,9.67,1.5879,0.1473,3.0285,si,0.4468,0.6247,no,si,17.0,2017:1;2018:10;2019:5;2020:5;2021:0;2022:7;2023:9;2024:10;2025:9;2026:26,AEMET
3200,GETAFE,MADRID,620.0,40.2994,-3.7222,302.5,interior,500-800,10,2017,2026,81,38.0,47.67,9.67,1.6727,-0.5398,3.8852,no,0.2753,0.9595,no,no,24.0,2017:43;2018:31;2019:40;2020:42;2021:28;2022:52;2023:45;2024:39;2025:42;2026:62,AEMET
4489X,ALCONCHEL,BADAJOZ,170.0,38.4847,-7.2819,39.2,interior,<200,10,2017,2026,81,9.0,18.67,9.67,1.1636,-0.5058,2.833,no,0.2441,0.7239,no,no,17.0,2017:14;2018:8;2019:5;2020:16;2021:4;2022:17;2023:12;2024:12;2025:29;2026:15,AEMET
4622X,VILLARRASA,HUELVA,145.0,37.4508,-6.6367,39.2,interior,<200,10,2017,2026,81,5.0,14.67,9.67,1.3697,0.1104,2.629,si,0.4402,0.5461,no,no,16.0,2017:9;2018:4;2019:2;2020:13;2021:9;2022:11;2023:16;2024:5;2025:21;2026:18,AEMET
8057C,PEGO,ALICANTE,60.0,38.8467,-0.1183,7.0,litoral,<200,10,2017,2026,81,59.67,69.33,9.67,1.4727,0.2369,2.7086,si,0.4856,0.5359,no,no,14.0,2017:58;2018:65;2019:56;2020:60;2021:58;2022:72;2023:68;2024:65;2025:75;2026:68,AEMET
0042Y,TARRAGONA,TARRAGONA,55.0,41.1239,1.2492,1.5,litoral,<200,9,2017,2026,81,48.67,58.0,9.33,1.4118,0.4285,2.395,si,0.6223,0.4157,no,no,8.0,2017:49;2018:51;2019:46;2020:47;2021:45;2022:53;2023:55;2025:60;2026:59,AEMET
1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250.0,43.3064,-2.0411,0.4,litoral,200-500,10,2017,2026,81,2.67,12.0,9.33,1.4788,-0.1319,3.0895,no,0.3591,0.6985,no,si,20.0,2017:3;2018:3;2019:2;2020:2;2021:0;2022:6;2023:2;2024:4;2025:6;2026:26,AEMET
1111X,SANTANDER,CANTABRIA,51.0,43.4911,-3.8006,0.9,litoral,<200,10,2017,2026,81,3.33,12.67,9.33,1.4061,-0.0757,2.8878,no,0.3744,0.6426,no,no,17.0,2017:0;2018:8;2019:2;2020:5;2021:0;2022:7;2023:2;2024:7;2025:7;2026:24,AEMET
