indicativo,nombre,provincia,altitud_m,lat,lon,dist_costa_km,grupo_costa,franja_altitud,n_veranos,anio_ini,anio_fin,noches_posibles,nivel_partida,nivel_final,cambio_absoluto,pendiente_noches_anio,ic95_inf,ic95_sup,ic95_excluye_cero,r2,error_std,cerca_del_techo,posible_inhomogeneidad,salto_max_veranos,serie,fuente
5038Y,CAZORLA,JAEN,799.0,37.9158,-3.0039,127.5,interior,500-800,10,2017,2026,81,37.67,57.33,19.67,2.7333,0.7879,4.6788,si,0.5675,0.8436,no,no,-20.0,2017:49;2018:29;2019:35;2020:47;2021:41;2022:53;2023:57;2024:48;2025:64;2026:60,AEMET
6032X,RONDA INSTITUTO,MALAGA,760.0,36.75,-5.1686,33.2,interior,500-800,9,2017,2026,81,21.67,41.33,19.67,2.8292,-0.2391,5.8974,no,0.4045,1.2974,no,no,25.0,2017:37;2018:13;2019:15;2021:17;2022:42;2023:41;2024:29;2025:50;2026:45,AEMET
7209,LORCA,MURCIA,312.0,37.6564,-1.6872,27.2,litoral,200-500,9,2017,2026,81,32.0,51.67,19.67,2.9542,1.5668,4.3416,si,0.7837,0.5866,no,no,12.0,2017:31;2018:33;2019:32;2020:26;2021:38;2022:44;2024:46;2025:58;2026:51,AEMET
3094B,TARANCÓN,CUENCA,819.0,40.0119,-3.0214,237.0,interior,800-1200,9,2017,2026,81,27.0,46.33,19.33,2.7986,0.5088,5.0885,si,0.5441,0.9682,no,no,-19.0,2017:36;2018:17;2019:28;2020:31;2021:20;2023:37;2024:36;2025:48;2026:55,AEMET
4584X,EL CERRO DE ANDÉVALO,HUELVA,270.0,37.7317,-6.9422,32.6,interior,200-500,10,2017,2026,81,17.0,36.33,19.33,2.5879,0.4121,4.7637,si,0.4846,0.9435,no,no,19.0,2017:28;2018:13;2019:10;2020:29;2021:15;2022:30;2023:33;2024:25;2025:44;2026:40,AEMET
5164B,BAEZA,JAEN,771.0,37.9967,-3.4619,138.6,interior,500-800,8,2017,2026,81,32.67,52.0,19.33,2.3539,-0.68,5.3879,no,0.3753,1.2399,no,no,-26.0,2017:49;2018:23;2019:26;2020:42;2021:30;2023:50;2025:54;2026:52,AEMET
5624X,AGUILAR DE LA FRONTERA,CORDOBA,309.0,37.4819,-4.6858,87.6,interior,200-500,10,2017,2026,81,16.33,35.67,19.33,2.3818,-0.0114,4.775,no,0.397,1.0378,no,no,23.0,2017:26;2018:12;2019:11;2020:34;2021:12;2022:32;2023:35;2024:33;2025:44;2026:30,AEMET
5950X,SAN JOSÉ DEL VALLE,CADIZ,105.0,36.6639,-5.7833,41.8,interior,<200,9,2017,2026,81,28.33,47.67,19.33,2.4333,-0.6076,5.4743,no,0.3385,1.2858,no,no,-29.0,2017:47;2018:18;2019:20;2020:42;2021:29;2022:41;2024:36;2025:52;2026:55,AEMET
4575X,VALVERDE DEL CAMINO,HUELVA,280.0,37.5753,-6.7678,46.4,interior,200-500,9,2017,2026,81,12.67,31.67,19.0,2.4958,0.7826,4.2091,si,0.629,0.7244,no,no,14.0,2017:19;2018:9;2019:10;2020:24;2021:12;2022:24;2024:25;2025:38;2026:32,AEMET
6001,TARIFA,CADIZ,45.0,36.0144,-5.5972,0.6,litoral,<200,10,2017,2026,81,27.0,46.0,19.0,2.3515,-1.8177,6.5207,no,0.1745,1.808,no,no,-44.0,2017:57;2018:13;2019:11;2020:38;2021:19;2022:38;2023:48;2024:33;2025:56;2026:49,AEMET
