indicativo_alta,nombre_alta,provincia_alta,altitud_alta_m,lat_alta,lon_alta,indicativo_baja,nombre_baja,provincia_baja,altitud_baja_m,lat_baja,lon_baja,distancia_km,delta_altitud_m,delta_tmin_c,gradiente_c_por_100m,veranos_comunes,anio_ini,anio_fin,tmin_alta_comun_c,tmin_baja_comun_c,tmin_alta_serie_c,tmin_baja_serie_c,dist_costa_baja_km,dist_costa_alta_km,grupo_altitud,grupo_costa,delta_esperado_c,anomalia_c,inversion_pura,fuente
1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1910.0,43.155,-4.803055555555555,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722.0,43.08916666666667,-4.773888888888889,7.69,188.0,-0.74,-0.394,3,2024,2026,9.37,10.11,8.99,10.11,34.9,28.3,>800,interior,-0.659,-0.081,no,AEMET
1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1910.0,43.155,-4.803055555555555,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236.0,43.237500000000004,-4.736666666666666,10.64,674.0,-1.578,-0.234,4,2021,2026,8.99,10.57,8.99,10.57,18.2,28.3,>800,litoral,-2.362,0.784,no,AEMET
1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1910.0,43.155,-4.803055555555555,1178Y,"POSADA DE VALDEÓN, SOTO ",LEON,953.0,43.14527777777778,-4.931666666666667,10.49,957.0,-1.343,-0.14,4,2021,2026,8.99,10.33,8.99,10.23,32.6,28.3,>800,interior,-3.353,2.01,no,AEMET
1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722.0,43.08916666666667,-4.773888888888889,1178Y,"POSADA DE VALDEÓN, SOTO ",LEON,953.0,43.14527777777778,-4.931666666666667,14.25,769.0,-0.519,-0.067,3,2024,2026,10.11,10.63,10.11,10.23,32.6,34.9,>800,interior,-2.695,2.176,no,AEMET
1176A,TRESVISO,CANTABRIA,940.0,43.255833333333335,-4.668333333333334,1174I,"CILLORIGO DE LIÉBANA, TAMA",CANTABRIA,250.0,43.18277777777777,-4.601666666666667,9.76,690.0,-1.4,-0.203,10,2017,2026,12.54,13.94,12.54,13.94,23.0,15.4,<400,litoral,-2.418,1.018,no,AEMET
1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236.0,43.237500000000004,-4.736666666666666,1174I,"CILLORIGO DE LIÉBANA, TAMA",CANTABRIA,250.0,43.18277777777777,-4.601666666666667,12.52,986.0,-3.585,-0.364,4,2021,2026,10.57,14.15,10.57,13.94,23.0,18.2,<400,litoral,-3.455,-0.13,no,AEMET
1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236.0,43.237500000000004,-4.736666666666666,1176A,TRESVISO,CANTABRIA,940.0,43.255833333333335,-4.668333333333334,5.9,296.0,-2.054,-0.694,4,2021,2026,10.57,12.62,10.57,12.54,15.4,18.2,>800,litoral,-1.037,-1.017,no,AEMET
1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236.0,43.237500000000004,-4.736666666666666,1179B,CABRALES,ASTURIAS,458.0,43.31111111111111,-4.852777777777778,12.46,778.0,-3.202,-0.412,3,2021,2026,10.85,14.05,10.57,13.85,13.1,18.2,400-800,litoral,-2.726,-0.476,no,AEMET
1179B,CABRALES,ASTURIAS,458.0,43.31111111111111,-4.852777777777778,1183X,LLANES,ASTURIAS,10.0,43.42027777777778,-4.748055555555555,14.8,448.0,-2.975,-0.664,7,2017,2025,13.74,16.71,13.85,16.64,1.0,13.1,<400,litoral,-1.57,-1.405,no,AEMET
1221D,PAJARES-VALGRANDE,ASTURIAS,1480.0,42.978611111111114,-5.776388888888889,2701D,"BARRIOS DE LUNA, MIÑERA",LEON,1120.0,42.885555555555555,-5.870833333333334,12.89,360.0,-0.384,-0.107,10,2017,2026,9.13,9.51,9.13,9.51,75.5,64.0,>800,interior,-1.261,0.877,no,AEMET
2630X,PUERTO DE SAN ISIDRO,LEON,1510.0,43.06222222222222,-5.376944444444444,1226X,"ALLER, FELECHOSA",ASTURIAS,750.0,43.09527777777778,-5.476944444444444,8.91,760.0,-3.935,-0.518,5,2019,2025,7.41,11.34,7.41,11.46,46.6,47.1,400-800,interior,-2.663,-1.272,no,AEMET
1249I,OVIEDO,ASTURIAS,336.0,43.35333333333333,-5.874166666666667,1234P,"MIERES, BAIÑA",ASTURIAS,170.0,43.275,-5.819166666666667,9.78,166.0,-0.62,-0.374,6,2017,2022,14.49,15.11,14.49,15.31,32.6,25.1,<400,interior,-0.582,-0.038,no,AEMET
1249X,OVIEDO,ASTURIAS,334.0,43.35333333333333,-5.87388888888889,1234P,"MIERES, BAIÑA",ASTURIAS,170.0,43.275,-5.819166666666667,9.77,164.0,-0.404,-0.246,10,2017,2026,14.91,15.31,14.91,15.31,32.6,25.1,<400,interior,-0.575,0.171,no,AEMET
1302F,DEGAÑA,ASTURIAS,1310.0,42.95527777777778,-6.4725,1541B,VILLABLINO,LEON,958.0,42.928888888888885,-6.333888888888889,11.66,352.0,0.991,0.282,10,2017,2026,9.7,8.71,9.7,8.71,69.0,65.0,>800,interior,-1.233,2.224,si,AEMET
1542,PUERTO DE LEITARIEGOS,ASTURIAS,1530.0,42.994166666666665,-6.4141666666666675,1302F,DEGAÑA,ASTURIAS,1310.0,42.95527777777778,-6.4725,6.42,220.0,-0.908,-0.413,9,2017,2026,8.86,9.77,8.86,9.7,65.0,60.9,>800,interior,-0.771,-0.137,no,AEMET
1341B,"TARAMUNDI, OURIA",ASTURIAS,340.0,43.41555555555556,-7.061111111111111,1331A,CASTROPOL,ASTURIAS,40.0,43.52472222222222,-7.0313888888888885,12.37,300.0,-1.396,-0.465,9,2017,2025,13.67,15.07,13.67,15.27,2.8,14.9,<400,litoral,-1.051,-0.345,no,AEMET
1341B,"TARAMUNDI, OURIA",ASTURIAS,340.0,43.41555555555556,-7.061111111111111,1342X,RIBADEO,LUGO,43.0,43.54055555555556,-7.083055555555555,14.01,297.0,-1.542,-0.519,9,2017,2025,13.67,15.22,13.67,15.39,1.1,14.9,<400,litoral,-1.041,-0.501,no,AEMET
1428,SANTIAGO DE COMPOSTELA AEROPUERTO,A CORUÑA,370.0,42.88805555555555,-8.410555555555556,1475X,SANTIAGO DE COMPOSTELA,A CORUÑA,240.0,42.876111111111115,-8.555833333333334,11.91,130.0,-1.401,-1.077,9,2017,2026,13.21,14.61,13.25,14.61,33.0,42.1,<400,interior,-0.456,-0.945,no,AEMET
1468X,A ESTRADA,PONTEVEDRA,269.0,42.69361111111111,-8.501944444444444,1473A,PADRÓN,A CORUÑA,100.0,42.73833333333334,-8.627222222222223,11.38,169.0,-0.364,-0.215,10,2017,2026,13.82,14.19,13.82,14.19,17.9,24.6,<400,litoral,-0.592,0.228,no,AEMET
1476R,"ROIS, CASAS DO PORTO",A CORUÑA,210.0,42.749722222222225,-8.714722222222221,1473A,PADRÓN,A CORUÑA,100.0,42.73833333333334,-8.627222222222223,7.26,110.0,0.192,0.175,10,2017,2026,14.38,14.19,14.38,14.19,17.9,14.1,<400,litoral,-0.385,0.577,si,AEMET
1489A,A LAMA,PONTEVEDRA,395.0,42.40694444444444,-8.45111111111111,1484C,PONTEVEDRA,PONTEVEDRA,113.0,42.43833333333333,-8.615833333333333,13.96,282.0,-2.204,-0.782,10,2017,2026,12.79,15.0,12.79,15.0,12.8,24.7,<400,litoral,-0.988,-1.216,no,AEMET
1495,VIGO AEROPUERTO,PONTEVEDRA,255.0,42.23861111111111,-8.623888888888889,1496X,VIGO,PONTEVEDRA,120.0,42.230555555555554,-8.724166666666667,8.3,135.0,-1.169,-0.866,9,2017,2026,14.67,15.84,14.71,15.84,5.4,13.7,<400,litoral,-0.473,-0.696,no,AEMET
1495,VIGO AEROPUERTO,PONTEVEDRA,255.0,42.23861111111111,-8.623888888888889,1723X,"PONTEAREAS, CANEDO",PONTEVEDRA,90.0,42.18222222222222,-8.492777777777777,12.49,165.0,1.08,0.655,10,2017,2026,14.71,13.63,14.71,13.63,10.4,13.7,<400,litoral,-0.578,1.658,si,AEMET
1542,PUERTO DE LEITARIEGOS,ASTURIAS,1530.0,42.994166666666665,-6.4141666666666675,1541B,VILLABLINO,LEON,958.0,42.928888888888885,-6.333888888888889,9.77,572.0,0.087,0.015,9,2017,2026,8.86,8.78,8.86,8.71,69.0,60.9,>800,interior,-2.004,2.091,si,AEMET
1639X,CHANDREXA DE QUEIXA,OURENSE,990.0,42.26027777777778,-7.383611111111112,1631E,A POBRA DE TRIVES,OURENSE,840.0,42.339444444444446,-7.2825,12.11,150.0,-1.054,-0.703,10,2017,2026,10.57,11.62,10.57,11.62,78.3,68.0,>800,interior,-0.526,-0.528,no,AEMET
1700X,O CARBALLIÑO,OURENSE,400.0,42.421388888888885,-8.092500000000001,1701X,RIBADAVIA,OURENSE,112.0,42.3,-8.129166666666666,13.83,288.0,-2.021,-0.702,10,2017,2026,12.43,14.45,12.43,14.45,18.7,32.5,<400,litoral,-1.009,-1.012,no,AEMET
1735X,XINZO DE LIMIA,OURENSE,616.0,42.07916666666667,-7.733611111111111,1706A,ALLARIZ,OURENSE,492.0,42.18277777777777,-7.796111111111111,12.62,124.0,-2.85,-2.298,9,2018,2026,9.7,12.55,9.7,12.47,33.0,37.7,400-800,interior,-0.434,-2.416,no,AEMET
2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",SEGOVIA,1798.0,41.19194444444444,-3.475277777777778,3111D,SOMOSIERRA,MADRID,1454.0,41.13583333333333,-3.5802777777777774,10.78,344.0,-0.222,-0.064,6,2017,2025,11.64,11.87,11.48,11.8,248.5,241.3,>800,interior,-1.205,0.983,no,AEMET
2400E,AUTILLA DEL PINO,PALENCIA,874.0,41.995555555555555,-4.602777777777778,2401X,PALENCIA,PALENCIA,736.0,42.00944444444445,-4.560555555555555,3.82,138.0,-0.696,-0.504,10,2017,2026,11.76,12.45,11.76,12.45,153.5,155.1,400-800,interior,-0.484,-0.212,no,AEMET
2539,VALLADOLID AEROPUERTO,VALLADOLID,846.0,41.71194444444445,-4.855555555555555,2422,VALLADOLID,VALLADOLID,734.0,41.64055555555556,-4.754166666666666,11.57,112.0,-2.514,-2.245,10,2017,2026,12.0,14.52,12.0,14.52,194.8,187.6,400-800,interior,-0.392,-2.122,no,AEMET
2462,PUERTO DE NAVACERRADA,MADRID,1892.0,40.79333333333333,-4.010833333333333,3104Y,RASCAFRÍA,MADRID,1159.0,40.88972222222222,-3.888333333333333,14.87,733.0,2.773,0.378,10,2017,2026,11.56,8.78,11.56,8.78,279.1,289.1,>800,interior,-2.568,5.341,si,AEMET
2462,PUERTO DE NAVACERRADA,MADRID,1892.0,40.79333333333333,-4.010833333333333,3266A,PUERTO ALTO DEL LEÓN,MADRID,1530.0,40.70638888888889,-4.14138888888889,14.64,362.0,-0.839,-0.232,10,2017,2026,11.56,12.4,11.56,12.4,298.4,289.1,>800,interior,-1.268,0.429,no,AEMET
2462,PUERTO DE NAVACERRADA,MADRID,1892.0,40.79333333333333,-4.010833333333333,3268C,ALPEDRETE,MADRID,924.0,40.65972222222222,-4.0175,14.87,968.0,-4.607,-0.476,10,2017,2026,11.56,16.16,11.56,16.16,303.9,289.1,>800,interior,-3.392,-1.215,no,AEMET
