indicativo,mes,tm_mes,tm_max,tm_min,ta_max,ta_min,p_mes,p_max,hr,n_llu,n_nie,n_tor
B496X,07,,,,,,,,,,,
B496X,08,,,,,,,,,,,
B496X,09,,,,,,,,,,,
B496X,10,,,,,,,,,,,
B496X,11,,,,,,,,,,,
B496X,12,,,,,,,,,,,
B496X,13,,,,,,,,,,,
B526X,01,,,,,,,,,,,
B526X,02,,,,,,,,,,,
B526X,03,,,,,,,,,,,
B526X,04,,,,,,,,,,,
B526X,05,,,,,,,,,,,
B526X,06,,,,,,,,,,,
B526X,07,,,,,,,,,,,
B526X,08,,,,,,,,,,,
B526X,09,,,,,,,,,,,
B526X,10,,,,,,,,,,,
B526X,11,,,,,,,,,,,
B526X,12,,,,,,,,,,,
B526X,13,,,,,,,,,,,
B569X,01,,,,,,,,,,,
B569X,02,,,,,,,,,,,
B569X,03,,,,,,,,,,,
B569X,04,,,,,,,,,,,
B569X,05,,,,,,,,,,,
B569X,06,,,,,,,,,,,
B569X,07,,,,,,,,,,,
B569X,08,,,,,,,,,,,
B569X,09,,,,,,,,,,,
B569X,10,,,,,,,,,,,
B569X,11,,,,,,,,,,,
B569X,12,,,,,,,,,,,
B569X,13,,,,,,,,,,,
B603X,01,,,,,,,,,,,
B603X,02,,,,,,,,,,,
B603X,03,,,,,,,,,,,
B603X,04,,,,,,,,,,,
B603X,05,,,,,,,,,,,
B603X,06,,,,,,,,,,,
B603X,07,,,,,,,,,,,
B603X,08,,,,,,,,,,,
B603X,09,,,,,,,,,,,
B603X,10,,,,,,,,,,,
B603X,11,,,,,,,,,,,
B603X,12,,,,,,,,,,,
B603X,13,,,,,,,,,,,
B605X,01,,,,,,,,,,,
B605X,02,,,,,,,,,,,
B605X,03,,,,,,,,,,,
B605X,04,,,,,,,,,,,
B605X,05,,,,,,,,,,,
B605X,06,,,,,,,,,,,
B605X,07,,,,,,,,,,,
B605X,08,,,,,,,,,,,
B605X,09,,,,,,,,,,,
B605X,10,,,,,,,,,,,
B605X,11,,,,,,,,,,,
B605X,12,,,,,,,,,,,
B605X,13,,,,,,,,,,,
B614E,01,,,,,,,,,,,
