indicativo,nombre,provincia,altitud,temporadas,calefaccion_mediana,calefaccion_peor,calefaccion_peor_temporada,calefaccion_mejor,calefaccion_ultima,terraza_mediana,terraza_peor,terraza_mejor,racha_sin_terraza_max,racha_terraza_max,heladas_mediana,heladas_peor,temporadas_sin_helada,racha_heladas_max,lluvia_mediana,tmin_p05_peor,tmin_min,tmin_min_fecha,calefaccion_fuera_nucleo,calefaccion_total
4358X,DON BENITO,BADAJOZ,274,9,119.0,135,2018-19,110,117,59.0,39,71,56,25,6.0,17,0,12,32.0,-1.9,-4.7,2021-01-06,381,1087
4386B,LLERENA,BADAJOZ,655,9,134.0,143,2018-19,114,135,31.0,20,41,73,13,2.0,13,2,6,36.0,-0.5,-2.8,2021-01-11,433,1178
4395X,VILLAFRANCA DE LOS BARROS,BADAJOZ,430,9,134.0,145,2018-19,125,133,44.0,23,62,100,25,19.0,34,0,18,32.0,-4.4,-6.8,2021-01-06,462,1216
4410X,MÉRIDA,BADAJOZ,228,9,128.0,141,2018-19,120,128,65.0,47,75,69,25,11.0,22,0,14,34.0,-3.1,-5.0,2021-01-13,428,1161
4411C,ALCUESCAR,CACERES,467,9,132.0,142,2017-18,118,142,32.0,21,43,100,13,8.0,18,0,10,40.0,-1.8,-4.4,2021-01-06,432,1193
4427X,ZAFRA,BADAJOZ,433,9,132.0,144,2021-22,126,131,48.0,27,63,69,18,15.0,30,0,15,35.0,-3.6,-5.5,2021-01-12,459,1205
4436Y,ALMENDRALEJO,BADAJOZ,371,9,126.0,141,2018-19,117,121,39.0,25,59,100,25,7.0,15,0,9,35.0,-1.4,-5.3,2021-01-06,416,1153
4452,BADAJOZ AEROPUERTO,BADAJOZ,186,9,123.0,142,2018-19,107,121,58.0,43,67,44,25,14.0,19,0,16,35.0,-2.3,-4.5,2021-01-13,403,1119
4464X,ALBURQUERQUE,BADAJOZ,283,9,130.0,140,2017-18,122,125,46.0,36,54,77,16,16.0,25,0,10,38.0,-3.8,-5.9,2021-01-12,436,1174
4468X,PUEBLA DE OBANDO,BADAJOZ,392,9,133.0,144,2018-19,124,139,34.0,27,45,100,13,7.0,16,0,9,40.0,-1.6,-4.0,2021-01-12,443,1201
4478X,BADAJOZ,BADAJOZ,174,9,123.0,137,2017-18,115,118,67.0,44,76,61,25,14.0,23,0,15,35.0,-3.1,-5.2,2021-01-13,404,1120
4486X,OLIVENZA,BADAJOZ,275,9,120.0,140,2018-19,106,120,46.0,31,61,83,25,5.0,12,0,8,35.0,-1.6,-3.4,2021-01-12,403,1101
4489X,ALCONCHEL,BADAJOZ,170,9,115.0,135,2018-19,109,113,49.0,32,64,82,25,3.0,12,1,7,33.0,-1.1,-3.3,2021-01-12,377,1069
4492F,BARCARROTA,BADAJOZ,377,9,125.0,142,2018-19,116,123,48.0,25,58,80,20,12.0,30,0,11,45.0,-3.6,-5.6,2023-03-02,426,1145
4497X,VILLANUEVA DEL FRESNO,BADAJOZ,247,9,109.0,132,2018-19,96,109,50.0,36,67,63,25,2.0,10,3,5,39.0,-0.7,-2.7,2021-01-15,348,1030
4499X,MONESTERIO,BADAJOZ,771,9,141.0,147,2021-22,126,144,17.0,13,29,122,9,1.0,14,2,6,37.0,-0.7,-4.2,2021-01-12,456,1231
4501X,FUENTE DE CANTOS,BADAJOZ,602,9,135.0,142,2018-19,116,135,29.0,18,40,119,13,3.0,11,0,7,33.0,-0.4,-2.9,2018-02-08,431,1183
4511C,JEREZ DE LOS CABALLEROS,BADAJOZ,381,9,126.0,139,2018-19,112,128,50.0,33,60,99,23,9.0,17,0,9,43.0,-1.8,-4.4,2023-03-02,403,1113
4520X,FREGENAL DE LA SIERRA,BADAJOZ,586,9,141.0,148,2018-19,137,141,33.0,21,43,80,13,18.0,27,0,15,42.0,-3.5,-5.0,2021-01-12,495,1268
4527X,AROCHE,HUELVA,267,9,133.0,139,2018-19,123,126,64.0,44,74,48,23,25.0,44,0,16,40.0,-4.5,-6.3,2023-01-26,469,1186
4541X,EL GRANADO,HUELVA,60,9,106.0,127,2018-19,93,106,91.0,71,99,42,44,2.0,10,4,6,29.0,-0.3,-2.4,2021-01-13,320,967
4549Y,AYAMONTE,HUELVA,3,9,78.0,112,2018-19,70,88,102.0,72,120,22,45,0.0,0,9,0,24.0,3.5,0.2,2019-01-12,205,758
4554X,CARTAYA,HUELVA,15,9,109.0,127,2018-19,99,108,79.0,60,100,31,29,1.0,8,4,6,29.0,-0.1,-2.2,2025-01-16,339,1028
4560Y,ALAJAR,HUELVA,572,9,121.0,128,2017-18,104,125,44.0,36,60,64,17,0.0,2,7,1,41.0,1.4,-0.6,2021-01-03,358,1056
4575X,VALVERDE DEL CAMINO,HUELVA,280,9,110.0,136,2018-19,88,94,66.0,52,77,58,24,0.0,6,5,4,35.0,0.4,-1.5,2021-01-03,335,1001
4584X,EL CERRO DE ANDÉVALO,HUELVA,270,9,95.0,114,2017-18,84,95,71.0,57,82,37,28,0.0,0,9,0,37.0,1.8,0.2,2021-01-03,270,873
4589X,"ALOSNO, THARSIS",HUELVA,276,9,97.0,118,2017-18,87,98,54.0,39,65,53,23,0.0,2,7,1,31.0,1.4,-0.4,2021-01-14,285,905
4608X,EL CAMPILLO,HUELVA,415,9,106.0,119,2017-18,92,106,50.0,41,64,77,22,0.0,1,8,1,37.0,1.8,-1.0,2026-01-06,310,961
4622X,VILLARRASA,HUELVA,145,9,115.0,138,2018-19,101,115,80.0,62,98,52,27,2.0,12,2,5,29.0,-0.4,-3.0,2021-01-03,356,1047
4642E,"HUELVA, RONDA ESTE",HUELVA,18,9,100.0,118,2018-19,87,100,103.0,78,113,25,47,0.0,2,6,1,27.0,1.2,-1.7,2018-02-07,280,920
5000C,CEUTA,CEUTA,87,9,9.0,33,2017-18,3,30,70.0,44,92,37,31,0.0,0,9,0,43.0,7.8,5.3,2021-01-10,27,129
5038Y,CAZORLA,JAEN,799,9,130.0,141,2017-18,90,130,43.0,22,46,57,13,2.0,11,3,4,41.0,-0.5,-3.0,2026-01-06,407,1137
5047E,BAZA,GRANADA,785,8,146.5,151,2017-18,132,147,42.0,25,57,86,15,41.5,72,0,20,19.5,-6.1,-8.8,2025-01-15,453,1158
5060X,VÉLEZ BLANCO - TOPARES,ALMERIA,1190,9,150.0,151,2017-18,145,150,20.0,12,33,65,12,26.0,54,0,26,23.0,-4.1,-7.5,2018-02-06,536,1344
5107D,DÓLAR,GRANADA,1197,9,147.0,151,2018-19,115,147,22.0,11,46,73,12,25.0,43,0,14,25.0,-3.7,-5.8,2023-01-24,517,1290
5164B,BAEZA,JAEN,771,9,139.0,146,2017-18,126,141,53.0,34,70,35,14,6.0,16,0,8,37.0,-1.2,-4.4,2026-01-07,458,1244
5165X,TORRES,JAEN,910,9,135.0,148,2017-18,111,133,27.0,9,32,99,12,6.0,26,1,9,35.0,-1.6,-3.6,2021-01-03,443,1206
5181D,ARROYO DEL OJANCO,JAEN,580,9,131.0,142,2017-18,107,133,57.0,30,65,34,22,14.0,24,0,14,35.0,-2.4,-4.6,2019-01-11,425,1163
5210X,VILLANUEVA DEL ARZOBISPO,JAEN,680,9,144.0,148,2017-18,110,145,48.0,21,59,63,13,19.0,30,0,15,37.0,-2.9,-4.9,2019-01-11,484,1247
5246,SANTA ELENA,JAEN,770,7,118.0,147,2021-22,108,118,26.0,12,30,122,13,5.0,17,0,4,27.0,-1.1,-2.7,2023-02-28,316,875
5270B,JAÉN,JAEN,580,9,115.0,138,2017-18,100,118,44.0,19,49,82,13,1.0,6,3,2,35.0,0.6,-2.0,2021-01-12,352,1062
5279X,LINARES,JAEN,515,9,121.0,140,2017-18,99,129,44.0,21,53,99,13,2.0,7,3,3,35.0,0.1,-2.2,2021-01-03,366,1106
5281X,BAILÉN,JAEN,345,8,120.0,139,2017-18,101,123,66.0,45,74,64,23,6.0,10,0,4,37.5,-0.5,-2.8,2021-01-03,317,970
5298X,ANDÚJAR,JAEN,202,9,127.0,142,2018-19,119,135,76.0,50,81,52,25,24.0,40,0,16,33.0,-4.1,-5.6,2021-01-03,419,1162
5304Y,PUERTOLLANO,CIUDAD REAL,665,9,140.0,148,2018-19,132,142,41.0,18,55,73,13,28.0,36,0,20,28.0,-3.5,-6.1,2021-01-12,489,1266
5341C,FUENCALIENTE,CIUDAD REAL,710,9,143.0,150,2018-19,137,142,42.0,24,59,76,13,17.0,30,0,8,47.0,-2.7,-5.3,2018-02-09,505,1291
5346X,CARDEÑA,CORDOBA,720,9,133.0,145,2017-18,125,141,44.0,25,50,56,13,3.0,14,1,7,43.0,-1.2,-4.0,2026-01-06,440,1214
5361X,MONTORO,CORDOBA,155,9,126.0,138,2018-19,113,131,79.0,54,88,28,25,24.0,37,0,16,34.0,-3.4,-4.8,2019-01-12,400,1131
5390Y,VILLANUEVA DE CÓRDOBA,CORDOBA,750,9,139.0,144,2021-22,128,140,31.0,17,41,61,12,4.0,16,0,8,38.0,-1.6,-3.3,2018-02-08,457,1233
5394X,"CÓRDOBA, EMBALSE DE GUADANUÑO",CORDOBA,525,9,140.0,147,2018-19,130,140,45.0,26,61,72,17,5.0,21,0,7,40.0,-1.6,-3.2,2018-02-09,466,1253
5402,CÓRDOBA AEROPUERTO,CORDOBA,90,9,128.0,134,2018-19,118,131,78.0,52,88,52,25,12.0,23,0,16,33.0,-2.4,-4.3,2026-01-07,404,1140
5406X,ALCALÁ LA REAL,JAEN,908,9,144.0,150,2018-19,113,145,36.0,17,44,61,13,9.0,30,0,10,39.0,-2.3,-4.8,2026-01-07,495,1264
5412X,PRIEGO DE CÓRDOBA,CORDOBA,550,9,139.0,147,2018-19,126,126,49.0,28,62,35,14,18.0,33,0,16,33.0,-3.0,-4.7,2018-02-09,469,1241
5427X,DOÑA MENCÍA,CORDOBA,650,8,99.0,129,2017-18,84,95,46.0,16,60,57,14,0.0,4,7,2,36.0,0.6,-1.2,2018-02-08,259,814
