indicativo,nombre,provincia,altitud,temporadas,calefaccion_mediana,calefaccion_peor,calefaccion_peor_temporada,calefaccion_mejor,calefaccion_ultima,terraza_mediana,terraza_peor,terraza_mejor,racha_sin_terraza_max,racha_terraza_max,heladas_mediana,heladas_peor,temporadas_sin_helada,racha_heladas_max,lluvia_mediana,tmin_p05_peor,tmin_min,tmin_min_fecha,calefaccion_fuera_nucleo,calefaccion_total
9145Y,CENICERO,LA RIOJA,429,9,145.0,147,2017-18,134,138,18.0,5,27,113,9,13.0,27,0,9,38.0,-2.7,-4.6,2022-01-15,490,1281
9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,9,147.0,151,2023-24,141,144,21.0,7,36,83,13,19.0,33,0,7,32.0,-4.4,-6.8,2024-01-21,519,1323
9171K,LOS ARCOS,NAVARRA,470,9,145.0,149,2020-21,141,143,25.0,10,35,98,12,18.0,24,0,9,38.0,-2.5,-6.6,2018-02-27,505,1306
9178X,CAMPEZO/KANPEZU,ARABA/ALAVA,570,9,146.0,149,2021-22,130,146,9.0,2,18,113,9,34.0,46,0,11,52.0,-4.2,-7.9,2021-01-07,524,1298
9188,ENCISO,LA RIOJA,855,9,148.0,151,2021-22,135,135,11.0,4,24,113,7,43.0,58,0,22,30.0,-5.0,-9.4,2021-01-08,520,1323
9195C,ASTÚN- LA RACA,HUESCA,2276,5,151.0,152,2023-24,151,151,0.0,0,0,152,0,119.0,130,0,70,53.0,-12.8,-17.2,2023-02-27,305,756
9198X,CANFRANC,HUESCA,1197,9,150.0,152,2023-24,147,150,5.0,0,6,151,6,61.0,84,0,21,66.0,-6.8,-10.0,2021-01-06,542,1352
9201K,JACA,HUESCA,823,6,149.0,150,2017-18,133,133,8.0,4,13,96,4,67.5,85,0,36,39.0,-7.7,-11.8,2021-01-08,341,879
9207,"VALLE DE HECHO, HECHO",HUESCA,860,9,150.0,151,2022-23,146,146,12.0,2,27,121,12,69.0,84,0,30,50.0,-7.0,-14.0,2021-01-08,539,1345
9208E,ARAGÜÉS DEL PUERTO,HUESCA,1025,9,149.0,150,2018-19,142,148,12.0,2,25,121,9,40.0,64,0,21,49.0,-6.2,-9.4,2018-02-27,523,1333
9211F,"BAILO, PUYALTO",HUESCA,722,9,148.0,150,2018-19,145,147,13.0,2,20,144,12,37.0,54,0,28,43.0,-5.2,-9.4,2021-01-08,523,1332
9218A,ISABA/IZABA,NAVARRA,838,9,148.0,152,2023-24,145,147,12.0,6,29,99,11,74.0,82,0,40,60.0,-6.7,-12.6,2021-01-08,534,1338
9228J,OROZ-BETELU/OROTZ-BETELU,NAVARRA,635,9,150.0,151,2019-20,141,141,12.0,2,22,149,10,45.0,59,0,14,58.0,-5.0,-8.1,2021-01-07,536,1334
9228T,RONCESVALLES/ORREAGA,NAVARRA,947,9,150.0,152,2019-20,146,146,4.0,0,8,148,4,44.0,73,0,19,73.0,-5.9,-10.4,2018-02-27,540,1343
9238X,NAVASCUÉS/NABASKOZE,NAVARRA,612,9,149.0,150,2019-20,146,146,15.0,5,24,105,11,73.0,92,0,34,50.0,-8.1,-12.5,2021-01-08,534,1336
9244X,SOS DEL REY CATÓLICO,ZARAGOZA,626,9,144.0,150,2021-22,115,115,9.0,3,23,143,10,24.0,45,0,13,41.0,-3.8,-8.8,2021-01-08,507,1273
9245X,CÁSEDA,NAVARRA,440,9,146.0,150,2019-20,143,145,19.0,5,32,124,10,26.0,38,0,11,37.0,-4.0,-7.2,2021-01-08,510,1317
9252X,OLITE/ERRIBERRI,NAVARRA,390,9,147.0,150,2017-18,143,145,14.0,2,31,143,10,21.0,34,0,10,38.0,-3.7,-6.2,2021-01-07,511,1317
9257X,"ESTERIBAR, EMBALSE DE EUGI",NAVARRA,615,9,150.0,152,2023-24,145,146,9.0,0,16,134,7,42.0,54,0,13,63.0,-4.3,-8.0,2021-01-07,538,1341
9262,PAMPLONA,NAVARRA,450,9,136.0,146,2021-22,116,142,14.0,4,29,126,10,10.0,26,0,7,49.0,-1.8,-5.3,2026-01-07,454,1213
9262P,MONREAL/ELO,NAVARRA,585,9,146.0,150,2019-20,134,144,9.0,1,21,143,10,25.0,44,0,11,50.0,-3.4,-6.7,2018-02-27,511,1305
9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459,9,148.0,150,2017-18,143,145,18.0,6,30,133,10,34.0,47,0,11,49.0,-4.7,-7.0,2026-01-07,517,1320
9263X,"ARANGUREN, ILUNDAIN",NAVARRA,572,9,143.0,149,2019-20,133,144,11.0,2,21,105,10,21.0,41,0,15,46.0,-3.5,-6.7,2018-01-09,494,1275
9274X,IRURTZUN,NAVARRA,432,9,142.0,148,2021-22,139,142,18.0,6,29,109,10,19.0,33,0,9,64.0,-2.8,-6.6,2021-01-07,498,1288
9280B,LARRAGA,NAVARRA,375,9,144.0,150,2017-18,140,140,16.0,5,31,130,7,27.0,38,0,11,34.0,-3.8,-5.7,2023-02-12,509,1305
9287A,SAN PEDRO MANRIQUE,SORIA,1096,9,151.0,152,2019-20,144,150,8.0,0,14,151,7,75.0,86,0,35,32.0,-8.6,-14.2,2023-02-25,539,1347
9293X,"ALFARO, LA PLANA",LA RIOJA,371,5,140.0,148,2021-22,139,144,20.0,4,35,87,10,12.0,16,0,6,29.0,-1.6,-3.6,2023-12-27,266,711
9294E,"BARDENAS REALES, BASE AÉREA",NAVARRA,295,9,146.0,149,2019-20,137,146,24.0,10,36,100,12,22.0,32,0,9,29.0,-3.6,-6.3,2019-01-04,506,1302
9299X,TARAZONA,ZARAGOZA,475,9,142.0,147,2018-19,134,142,20.0,5,37,101,11,17.0,27,0,9,27.0,-2.4,-4.8,2020-01-14,490,1281
9301X,MONTEAGUDO,NAVARRA,410,9,145.0,148,2018-19,135,141,22.0,4,40,101,10,22.0,30,0,10,26.0,-3.2,-6.9,2024-01-20,491,1282
9302Y,TUDELA,NAVARRA,297,9,140.0,149,2020-21,135,144,22.0,5,37,85,19,14.0,18,0,9,25.0,-2.7,-5.8,2019-01-05,470,1272
9321X,EJEA DE LOS CABALLEROS,ZARAGOZA,321,7,146.0,149,2021-22,142,145,27.0,9,38,97,13,21.0,38,0,10,27.0,-4.8,-6.5,2021-01-08,394,1022
9336D,CASTEJON DE VALDEJASA,ZARAGOZA,543,9,143.0,149,2021-22,139,143,15.0,3,32,143,10,15.0,34,0,11,29.0,-2.8,-6.7,2018-02-27,485,1289
9344C,ARCOS DE JALÓN,SORIA,863,9,149.0,151,2017-18,146,148,15.0,7,23,125,11,43.0,70,0,22,29.0,-6.9,-13.6,2021-01-12,530,1337
9352A,ALMAZUL,SORIA,1000,9,151.0,151,2018-19,147,149,11.0,6,20,125,8,53.0,77,0,29,34.0,-7.9,-12.1,2021-01-12,543,1350
9354X,ALHAMA DE ARAGON,ZARAGOZA,703,9,149.0,151,2021-22,146,146,26.0,15,37,123,13,51.0,81,0,26,29.0,-7.7,-18.2,2021-01-12,530,1335
9374X,SANTA EULALIA DEL CAMPO,TERUEL,1000,9,151.0,151,2017-18,150,151,18.0,9,33,78,12,71.0,103,0,34,23.0,-9.4,-23.1,2021-01-12,546,1357
9377Y,EL PEDREGAL,GUADALAJARA,1185,9,148.0,152,2023-24,136,150,15.0,9,29,99,8,61.0,89,0,40,32.0,-7.4,-14.0,2021-01-12,534,1319
9381I,CALAMOCHA,TERUEL,884,9,151.0,151,2017-18,148,149,18.0,9,31,99,12,62.0,86,0,32,26.0,-10.7,-21.3,2021-01-12,543,1353
9390,DAROCA,ZARAGOZA,774,9,148.0,151,2018-19,143,145,21.0,9,34,123,12,56.0,81,0,26,27.0,-8.0,-18.5,2021-01-12,526,1331
9394X,CALATAYUD,ZARAGOZA,582,9,145.0,150,2021-22,138,145,29.0,8,40,96,14,42.0,67,0,26,22.0,-6.2,-15.4,2021-01-12,509,1301
9427X,LA ALMUNIA DE DOÑA GODINA,ZARAGOZA,370,9,136.0,147,2018-19,122,134,37.0,18,55,45,25,19.0,28,0,10,21.0,-2.9,-9.0,2021-01-12,466,1213
9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,9,138.0,144,2017-18,129,138,31.0,12,45,68,20,10.0,17,0,9,23.0,-2.2,-4.9,2019-01-05,452,1242
9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,258,9,138.0,145,2021-22,128,134,34.0,14,49,68,25,9.0,16,0,9,23.0,-2.0,-4.4,2019-01-05,448,1228
9436X,FONFRÍA,TERUEL,1255,9,151.0,151,2017-18,147,147,5.0,1,15,150,7,46.0,80,0,27,36.0,-5.9,-9.9,2021-01-12,542,1351
9445L,"FORMIGAL, SARRIOS",HUESCA,1800,5,145.0,151,2025-26,139,151,0.0,0,0,151,0,77.0,95,0,27,60.0,-9.8,-13.5,2023-02-27,288,722
9451F,"PANTICOSA, PETROSOS",HUESCA,1850,7,150.0,151,2020-21,125,151,0.0,0,2,152,1,84.0,96,0,34,46.0,-9.3,-13.4,2023-02-27,397,1025
9453X,"BIESCAS, EMBALSE DE BÚBAL",HUESCA,1100,9,151.0,152,2019-20,148,148,5.0,1,9,150,7,72.0,98,0,26,49.0,-7.5,-12.1,2021-01-08,547,1357
9460X,SABIÑÁNIGO,HUESCA,775,9,151.0,152,2023-24,147,147,19.0,8,29,125,12,66.0,99,0,43,42.0,-9.7,-15.0,2021-01-12,543,1355
9491X,ALMUDÉVAR,HUESCA,390,9,148.0,150,2019-20,143,148,22.0,7,35,92,12,27.0,50,0,17,26.0,-4.5,-11.4,2021-01-12,516,1324
9495Y,LECIÑENA,ZARAGOZA,405,9,147.0,150,2019-20,140,142,26.0,12,47,69,13,39.0,63,0,21,22.0,-4.9,-12.2,2021-01-11,506,1313
9501X,VALMADRID,ZARAGOZA,535,9,142.0,144,2020-21,130,142,19.0,9,36,87,11,16.0,29,0,11,26.0,-3.2,-5.1,2018-02-24,487,1253
9510X,QUINTO,ZARAGOZA,205,9,143.0,147,2018-19,133,135,36.0,22,53,68,25,24.0,36,0,9,20.0,-5.7,-7.5,2021-01-12,478,1270
9513X,MUNIESA,TERUEL,800,9,147.0,151,2018-19,141,141,15.0,10,35,83,11,24.0,46,0,10,22.0,-3.5,-7.1,2021-01-12,523,1312
9531Y,MONTALBÁN,TERUEL,895,9,150.0,151,2020-21,145,146,19.0,12,40,78,12,47.0,69,0,29,27.0,-6.8,-14.6,2021-01-12,536,1339
9546B,HIJAR,TERUEL,305,9,138.0,144,2020-21,126,138,43.0,27,61,57,26,12.0,20,0,9,19.0,-1.9,-6.0,2020-01-14,463,1235
9550C,"ANDORRA, HORCALLANA",TERUEL,762,9,144.0,148,2021-22,135,142,12.0,5,36,102,10,14.0,32,0,14,21.0,-3.2,-5.9,2021-01-12,496,1285
9561X,CASTELLOTE,TERUEL,755,9,141.0,145,2018-19,125,141,28.0,14,51,64,12,10.0,28,0,9,26.0,-2.5,-6.2,2021-01-12,468,1249
9562X,MORELLA,CASTELLON,990,9,146.0,150,2018-19,135,146,10.0,3,27,108,10,15.0,40,0,14,29.0,-3.5,-5.4,2022-01-22,512,1303
9563X,CASTELLFORT,CASTELLON,1220,8,146.5,149,2018-19,138,147,4.5,1,14,150,6,25.5,48,0,13,14.5,-5.2,-8.6,2023-02-27,457,1160
9569A,CALANDA,TERUEL,466,9,142.0,146,2021-22,131,142,29.0,17,53,68,12,12.0,19,0,9,22.0,-1.9,-6.1,2017-12-25,474,1258
9573X,ALCAÑIZ,TERUEL,334,9,147.0,150,2018-19,144,147,34.0,17,56,87,25,26.0,34,0,11,22.0,-3.9,-6.7,2021-01-12,519,1326
9574B,"CASPE, PLANA DEL PILÓN",ZARAGOZA,215,8,137.0,143,2020-21,130,138,36.5,16,47,83,25,12.0,17,0,9,18.5,-3.4,-4.7,2022-01-19,399,1098
9585,LA MOLINA,GIRONA,1699,9,151.0,152,2019-20,143,150,0.0,0,3,151,2,89.0,120,0,35,27.0,-10.6,-15.6,2018-02-13,538,1349
9590,MARTINET  ,LLEIDA,1038,9,151.0,152,2019-20,147,150,19.0,8,33,138,12,109.0,130,0,49,27.0,-9.7,-16.7,2018-02-09,547,1355
9590D,CAP DE REC,LLEIDA,1940,5,151.0,152,2023-24,148,151,0.0,0,0,152,0,110.0,120,0,42,0.0,-10.4,-15.2,2023-02-27,300,751
9619,LA SEU D'URGELL,LLEIDA,677,7,150.0,151,2018-19,136,150,34.0,12,42,74,15,91.0,113,0,48,19.0,-8.0,-10.4,2021-01-08,408,1037
9632X,TUIXENT,LLEIDA,1196,9,148.0,151,2019-20,145,151,10.0,2,20,99,7,78.0,110,0,38,29.0,-8.2,-11.6,2018-02-13,540,1334
9638D,COLL DE NARGÓ,LLEIDA,609,8,150.5,152,2023-24,149,150,25.5,11,39,78,11,63.0,103,0,39,27.0,-6.5,-9.3,2021-01-06,485,1203
9647X,TORÀ,LLEIDA,435,9,150.0,151,2017-18,146,149,16.0,5,39,142,13,69.0,97,0,31,20.0,-7.7,-9.4,2023-01-30,534,1343
9650X,ARTESA DE SEGRE,LLEIDA,400,9,149.0,152,2023-24,144,149,22.0,8,41,100,24,56.0,89,0,28,21.0,-6.8,-8.6,2017-12-04,524,1335
9657X,ESTERRI D'ÀNEU,LLEIDA,952,9,150.0,151,2018-19,120,150,14.0,2,22,133,7,84.0,102,0,26,16.0,-7.8,-13.5,2018-02-09,497,1293
9660,SANT MAURICI (LLAC),LLEIDA,1907,9,151.0,152,2019-20,150,151,0.0,0,1,152,1,118.0,132,0,61,40.0,-10.6,-13.9,2023-02-27,548,1358
9677,PORT AINÉ,LLEIDA,2410,6,149.5,152,2023-24,140,151,0.0,0,0,152,0,121.5,134,0,74,0.0,-12.9,-18.6,2023-02-27,359,883
9689X,TORRE DE CABDELLA ,LLEIDA,1273,9,151.0,152,2019-20,144,150,7.0,0,19,151,7,56.0,98,0,26,36.0,-5.8,-9.2,2018-02-13,538,1349
9698U,TALARN,LLEIDA,807,7,150.0,152,2023-24,125,152,16.0,3,25,118,12,40.0,72,0,27,28.0,-4.1,-6.8,2021-01-06,417,1025
9707,LLIMIANA,LLEIDA,515,8,147.5,151,2021-22,142,150,31.5,14,44,94,24,51.5,95,0,24,24.5,-6.8,-8.7,2022-01-16,473,1177
9718X,TORDERA - GRANYANELLA,LLEIDA,463,9,145.0,148,2017-18,127,127,13.0,4,37,121,12,20.0,39,0,17,17.0,-3.4,-6.2,2021-01-12,484,1264
9724X,OS DE BALAGUER,LLEIDA,520,9,142.0,151,2021-22,130,130,16.0,8,36,99,12,39.0,73,0,22,21.0,-5.6,-7.6,2017-12-03,483,1270
9726E,LLORAC,TARRAGONA,657,9,150.0,151,2017-18,135,135,7.0,1,22,142,10,68.0,96,0,30,22.0,-8.0,-11.7,2018-02-13,541,1337
9729X,MOLLERUSSA,LLEIDA,252,9,139.0,146,2017-18,132,135,30.0,12,45,63,25,29.0,55,0,15,19.0,-4.2,-7.4,2021-01-12,482,1251
9744B,VALL DE BOÍ,LLEIDA,1089,9,150.0,152,2019-20,127,127,13.0,3,28,118,12,111.0,118,0,47,36.0,-8.1,-13.6,2018-02-09,542,1318
9751,SOPEIRA,HUESCA,760,9,150.0,152,2023-24,146,146,19.0,4,31,129,12,36.0,72,0,18,29.0,-4.2,-7.8,2021-01-08,535,1344
9756X,BENABARRE,HUESCA,765,9,150.0,152,2023-24,147,147,7.0,2,19,144,10,47.0,78,0,28,28.0,-5.1,-7.8,2021-01-08,540,1349
9771C,LLEIDA,LLEIDA,186,9,146.0,150,2021-22,138,142,39.0,21,49,71,25,26.0,59,0,20,20.0,-4.2,-6.3,2017-12-06,493,1297
9772X,LA POBLA DE CÉRVOLES,LLEIDA,673,9,145.0,151,2021-22,136,145,17.0,3,40,144,11,19.0,35,0,17,25.0,-3.0,-6.2,2024-12-31,502,1302
9775X,EL SOLERÀS,LLEIDA,392,9,146.0,148,2018-19,140,147,19.0,10,43,101,16,23.0,42,0,18,22.0,-3.2,-7.0,2026-01-06,507,1308
9776D,ELS TORMS,LLEIDA,488,7,135.0,145,2021-22,129,134,10.0,5,39,50,11,13.0,29,0,12,16.0,-2.7,-6.2,2019-01-05,352,949
9784P,BIELSA,HUESCA,992,9,151.0,152,2019-20,149,150,11.0,2,21,128,12,68.0,100,0,25,44.0,-5.4,-10.0,2021-01-06,548,1356
9808X,"AÍNSA-SOBRARBE, LA SERRETA",HUESCA,610,9,150.0,152,2023-24,148,149,21.0,8,32,95,13,50.0,78,0,27,35.0,-4.6,-8.4,2021-01-08,536,1348
9814I,"TORLA-ORDESA, EL CEBOLLAR",HUESCA,1905,7,151.0,151,2020-21,140,151,0.0,0,0,151,0,88.0,109,0,33,41.0,-9.3,-13.8,2023-02-27,415,1046
9814X,TORLA - ORDESA,HUESCA,1076,8,151.0,152,2019-20,146,150,32.0,26,43,96,13,50.0,54,0,21,47.5,-5.2,-8.6,2021-01-06,486,1203
9838B,BENASQUE,HUESCA,1120,9,151.0,152,2019-20,148,151,12.0,2,24,133,11,106.0,120,0,47,38.0,-9.5,-13.8,2021-01-08,548,1356
9839V,"CERLER, COGULLA",HUESCA,2374,7,151.0,152,2023-24,139,151,0.0,0,0,152,0,118.0,129,0,70,33.0,-11.9,-17.7,2023-02-27,414,1046
9843A,SEIRA,HUESCA,825,9,151.0,152,2019-20,150,151,16.0,9,27,100,12,70.0,106,0,41,36.0,-5.3,-9.3,2021-01-08,548,1360
9855E,"CAPELLA, LAGUARRES",HUESCA,600,9,151.0,152,2023-24,144,144,17.0,3,26,143,11,61.0,100,0,35,28.0,-6.8,-10.3,2021-01-14,538,1345
9866C,BARBASTRO,HUESCA,305,9,148.0,151,2021-22,141,150,34.0,18,48,71,25,46.0,86,0,31,27.0,-6.0,-8.8,2017-12-03,519,1325
9894Y,SARIÑENA,HUESCA,300,9,147.0,148,2019-20,143,145,25.0,11,38,99,17,28.0,47,0,20,23.0,-4.4,-8.1,2021-01-11,511,1314
9898,"HUESCA, AEROPUERTO",HUESCA,546,9,147.0,151,2021-22,144,147,16.0,4,29,144,10,23.0,41,0,17,28.0,-3.7,-7.4,2021-01-12,514,1326
9901X,HUESCA,HUESCA,463,9,145.0,150,2021-22,141,142,22.0,6,34,99,14,24.0,38,0,20,30.0,-3.6,-7.6,2021-01-12,500,1307
9908X,LANAJA,HUESCA,380,9,143.0,147,2021-22,136,144,19.0,5,33,88,12,18.0,28,0,13,22.0,-2.5,-7.3,2021-01-12,486,1279
9911X,BALLOBAR,HUESCA,178,9,143.0,150,2021-22,135,139,36.0,19,49,71,25,27.0,45,0,20,19.0,-4.8,-6.8,2021-01-12,487,1279
9918Y,"TAMARITE DE LITERA, LA MELUSA",HUESCA,218,9,148.0,150,2021-22,142,142,28.0,18,46,71,25,44.0,79,0,24,23.0,-6.3,-8.2,2017-12-03,519,1320
9924X,FRAGA,HUESCA,170,9,134.0,146,2021-22,130,130,42.0,24,50,71,25,16.0,33,0,20,21.0,-4.0,-5.7,2021-01-12,450,1230
9935X,VALDERROBRES,TERUEL,483,9,148.0,152,2023-24,146,147,21.0,7,45,79,12,46.0,71,0,18,25.0,-6.3,-9.7,2021-01-12,530,1331
9946X,HORTA DE SANT JOAN,TARRAGONA,495,8,137.5,149,2021-22,131,134,22.5,11,44,102,12,14.5,25,0,9,21.5,-1.9,-4.0,2017-12-25,413,1110
9947X,LA POBLA DE MASSALUCA,TARRAGONA,370,9,134.0,147,2021-22,123,133,24.0,7,40,102,14,8.0,17,0,8,20.0,-1.0,-4.9,2023-12-28,443,1216
9961X,CABACÉS,TARRAGONA,363,9,138.0,147,2021-22,127,138,39.0,21,58,69,14,9.0,25,0,10,23.0,-1.6,-4.1,2019-01-05,457,1233
9975X,RASQUERA,TARRAGONA,112,9,133.0,142,2018-19,111,137,44.0,24,60,58,20,12.0,24,0,8,21.0,-2.8,-5.7,2025-01-15,436,1181
9981A,ESTACIÓN DE TORTOSA (ROQUETES),TARRAGONA,50,9,115.0,124,2018-19,102,122,76.0,62,100,31,26,1.0,2,4,1,21.0,1.0,-1.7,2025-01-15,327,1013
9988B,CAP DE VAQUÈIRA,LLEIDA,2467,5,151.0,152,2023-24,150,151,0.0,0,0,152,0,127.0,133,0,74,0.0,-14.3,-18.7,2023-02-27,304,755
9990X,"NAUT ARAN, ARTIES ",LLEIDA,1161,9,151.0,152,2019-20,129,129,10.0,3,19,125,5,78.0,106,0,43,45.0,-10.2,-13.5,2017-12-03,510,1317
9994X,BOSSÒST,LLEIDA,722,8,149.0,151,2018-19,146,146,29.0,10,35,64,10,60.0,87,0,32,45.0,-6.8,-10.5,2021-01-06,478,1192
9995Y,VALCARLOS/LUZAIDE,NAVARRA,334,9,129.0,137,2018-19,121,129,33.0,13,43,68,10,10.0,22,0,7,61.0,-1.6,-7.3,2018-02-27,450,1161
9998X,BELLO,TERUEL,1006,9,150.0,151,2017-18,147,151,11.0,4,24,144,7,78.0,96,0,40,26.0,-11.3,-25.4,2021-01-12,539,1345
B013X,"ESCORCA, LLUC",ILLES BALEARS,490,9,136.0,146,2018-19,126,134,27.0,13,67,65,14,13.0,32,0,8,34.0,-2.2,-4.4,2019-01-25,450,1224
B051A,"SÓLLER, PUERTO",BALEARES,5,6,65.5,84,2021-22,61,61,59.5,23,69,50,21,0.0,0,6,0,26.5,5.1,3.5,2023-02-27,88,406
B087X,BANYALBUFAR,ILLES BALEARS,60,9,55.0,70,2018-19,41,42,49.0,22,70,52,20,0.0,0,9,0,30.0,4.8,3.7,2018-02-13,99,494
B103B,ANDRATX - SANT ELM,BALEARES,52,8,102.0,124,2018-19,84,84,47.0,23,68,47,21,0.0,0,8,0,22.5,2.7,0.1,2021-01-06,254,821
B158X,"CALVIÀ, ES CAPDELLÀ",BALEARES,50,9,112.0,134,2018-19,86,103,73.0,37,85,33,25,0.0,2,6,2,27.0,1.1,-0.9,2019-02-16,334,999
B228,"PALMA, PUERTO",BALEARES,3,9,58.0,96,2018-19,36,47,77.0,45,107,31,24,0.0,0,9,0,30.0,4.7,2.7,2018-02-11,130,555
B236C,"PALMA, UNIVERSITAT",ILLES BALEARS,95,9,131.0,141,2017-18,123,131,68.0,42,84,25,25,4.0,15,2,5,32.0,-0.6,-2.5,2018-02-11,423,1175
B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030,9,136.0,150,2017-18,115,118,3.0,1,13,147,3,1.0,26,4,8,37.0,-2.2,-3.9,2018-02-27,464,1195
B275E,"SON BONET, AEROPUERTO",BALEARES,47,5,95.0,102,2021-22,88,95,62.0,31,84,26,21,0.0,0,5,0,28.0,2.4,0.9,2022-01-18,123,475
B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,9,118.0,139,2018-19,106,114,64.0,35,86,39,22,6.0,11,1,5,30.0,-0.2,-2.4,2021-01-06,364,1078
B301,"LLUCMAJOR, CAP BLANC",BALEARES,113,9,70.0,91,2017-18,50,63,53.0,25,86,33,25,0.0,0,9,0,23.0,3.2,1.6,2017-12-02,186,644
B334X,LLUCMAJOR,ILLES BALEARS,140,9,106.0,132,2018-19,101,104,59.0,26,81,39,21,0.0,1,8,1,26.0,2.0,-0.2,2021-01-06,307,999
B362X,"CAMPOS, CAN SION",ILLES BALEARS,40,9,133.0,140,2017-18,118,130,78.0,25,92,36,33,13.0,23,0,9,26.0,-2.1,-3.8,2022-01-17,425,1182
B373X,"CAMPOS, SALINES LLEVANT",ILLES BALEARS,3,9,119.0,131,2018-19,106,114,57.0,26,70,39,21,10.0,19,0,7,26.0,-1.6,-3.9,2021-01-06,360,1064
B410B,SANTANYÍ,BALEARES,45,9,91.0,116,2018-19,81,91,54.0,23,79,40,33,0.0,0,9,0,23.0,2.9,0.1,2023-02-27,241,852
B434X,PORTOCOLOM  ,ILLES BALEARS,17,8,72.0,91,2017-18,57,66,54.5,29,75,52,21,0.0,0,8,0,27.5,4.2,1.2,2023-02-27,143,585
B496X,SON SERVERA,ILLES BALEARS,25,9,108.0,127,2018-19,94,108,70.0,44,94,32,35,0.0,1,8,1,29.0,2.4,-0.1,2021-01-05,296,985
B526X,ARTÀ,ILLES BALEARS,110,9,117.0,129,2017-18,107,118,60.0,33,94,34,21,1.0,2,4,2,26.0,1.1,-1.4,2021-01-06,337,1046
B569X,CAPDEPERA,BALEARES,57,8,18.5,68,2017-18,6,17,77.0,45,94,18,22,0.0,0,8,0,31.0,4.4,2.2,2018-02-27,42,204
B603X,ARTÀ-COLÒNIA DE SANT PERE,ILLES BALEARS,99,9,64.0,94,2017-18,52,60,51.0,23,74,37,20,0.0,0,9,0,28.0,4.1,3.0,2017-12-02,158,622
B605X,"MURO, S'ALBUFERA",ILLES BALEARS,2,9,113.0,131,2018-19,99,113,66.0,38,89,24,22,1.0,4,4,2,32.0,0.6,-1.3,2022-01-18,331,1040
B614E,MANACOR,ILLES BALEARS,100,9,113.0,127,2018-19,103,116,57.0,22,84,34,22,1.0,4,3,3,30.0,0.6,-2.2,2021-01-06,341,1029
B644B,SINEU,ILLES BALEARS,120,9,114.0,136,2018-19,103,103,55.0,24,84,29,21,1.0,4,3,2,29.0,0.2,-1.8,2021-01-06,344,1039
B656A,SANTA MARÍA DEL CAMÍ,BALEARES,121,9,114.0,141,2018-19,105,107,60.0,26,84,38,25,4.0,10,3,3,31.0,-0.3,-2.6,2018-02-24,368,1064
B662X,BINISSALEM,ILLES BALEARS,105,9,119.0,133,2017-18,107,113,59.0,32,82,53,13,5.0,15,0,5,25.0,-1.3,-2.9,2022-01-17,356,1067
B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,842,9,145.0,148,2018-19,138,142,4.0,3,14,146,5,27.0,42,0,12,38.0,-3.5,-5.3,2018-02-11,512,1298
B691Y,SA POBLA,BALEARES,32,9,113.0,137,2018-19,95,112,75.0,40,93,24,22,1.0,4,2,2,30.0,0.4,-1.5,2022-01-30,348,1043
B760X,POLLENÇA,ILLES BALEARS,45,9,111.0,128,2017-18,99,110,83.0,48,99,23,26,0.0,1,7,1,34.0,2.0,-0.6,2019-02-13,306,1014
B780X,PORT DE POLLENÇA,ILLES BALEARS,2,9,100.0,121,2017-18,81,91,77.0,58,105,23,22,0.0,0,9,0,32.0,2.2,0.1,2022-01-18,252,912
B800X,"LA MOLA, MAÓ",ILLES BALEARS,78,8,52.5,65,2017-18,35,64,44.0,13,61,48,11,0.0,0,8,0,26.0,5.9,1.9,2018-03-20,90,418
B825B,ES MERCADAL,ILLES BALEARS,80,9,75.0,95,2017-18,61,75,33.0,11,60,55,16,0.0,0,9,0,31.0,4.2,1.5,2018-03-20,188,699
B860X,CIUTADELLA,ILLES BALEARS,20,9,82.0,105,2018-19,70,70,50.0,20,71,43,20,0.0,0,9,0,29.0,3.8,0.8,2023-02-11,223,764
B870C,"CIUTADELLA, CALA GALDANA",BALEARES,43,9,105.0,126,2017-18,88,88,48.0,24,72,47,20,0.0,2,5,2,31.0,1.2,-1.5,2021-01-06,308,971
B893,"MENORCA, AEROPUERTO",BALEARES,91,9,100.0,115,2018-19,91,100,42.0,16,50,64,19,0.0,1,8,1,32.0,1.8,-0.6,2021-01-06,265,909
B908X,SANT JOAN DE LABRITJA,ILLES BALEARS,110,9,116.0,132,2017-18,115,116,67.0,30,108,26,22,8.0,14,2,6,31.0,-0.7,-3.5,2021-01-06,351,1069
B925,SANT ANTONI DE PORTMANY,BALEARES,32,8,102.0,115,2018-19,87,93,74.5,37,88,32,25,0.5,2,4,2,23.0,1.1,-1.3,2021-01-06,246,812
B954,"IBIZA, AEROPUERTO",ILLES BALEARS,6,9,88.0,111,2018-19,71,83,53.0,24,84,45,33,0.0,0,9,0,23.0,2.2,0.0,2021-01-06,215,807
B957,EIVISSA,BALEARES,3,9,101.0,124,2018-19,84,84,80.0,47,110,23,33,0.0,1,7,1,19.0,1.4,-0.6,2021-01-06,273,912
