rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmax_media_verano,tmax_normal_verano,tmax_anomalia,tmax_tendencia,tmax_esperada,residual,score_refugio
102,0120X,MOIÀ,BARCELONA,742,41.813,2.095,9.000,27.778,,,0.088,30.900,-3.122,-1.917
103,C619Y,LA ALDEA DE SAN NICOLÁS,LAS PALMAS,13,28.001,-15.808,9.000,27.659,,,0.066,30.055,-2.396,-1.916
104,B870C,"CIUTADELLA, CALA GALDANA",BALEARES,43,39.945,3.957,9.000,30.374,,,0.100,33.881,-3.506,-1.911
105,C328W,HERMIGUA,STA. CRUZ DE TENERIFE,252,28.164,-17.194,9.000,24.406,,,0.131,28.899,-4.493,-1.907
106,C459Z,PUERTO DE LA CRUZ,STA. CRUZ DE TENERIFE,25,28.418,-16.548,9.000,26.466,,,0.087,29.503,-3.036,-1.903
107,1038X,AZPEITIA,GIPUZKOA,180,43.172,-2.267,9.000,25.327,,,0.117,29.294,-3.967,-1.887
108,0201X,"BARCELONA, DRASSANES",BARCELONA,11,41.375,2.174,9.000,29.048,,,0.101,32.472,-3.424,-1.876
109,0281Y,BLANES,GIRONA,45,41.677,2.805,9.000,29.609,,,0.088,32.569,-2.960,-1.865
110,0385X,L'ESTARTIT,GIRONA,1,42.054,3.201,9.000,27.497,,,0.156,32.666,-5.169,-1.859
111,1208H,"GIJÓN, PUERTO",ASTURIAS,5,43.560,-5.701,9.000,22.675,,,0.157,27.843,-5.168,-1.856
112,1203D,COLUNGA,ASTURIAS,30,43.492,-5.247,9.000,22.233,,,0.176,28.039,-5.806,-1.854
113,0034X,VALLS,TARRAGONA,233,41.293,1.261,9.000,31.287,,,0.012,31.677,-0.390,-1.846
114,B760X,POLLENÇA,ILLES BALEARS,45,39.877,3.024,9.000,31.845,,,0.050,33.473,-1.628,-1.841
115,1064L,"OROZKO, IBARRA",BIZKAIA,270,43.096,-2.860,9.000,26.179,,,0.084,28.887,-2.707,-1.835
116,8416X,"VALENCIA, UPV",VALENCIA,6,39.479,-0.337,9.000,28.493,,,0.113,32.157,-3.664,-1.835
117,0341,TONA (ESCOLA),BARCELONA,607,41.847,2.223,9.000,28.597,,,0.082,31.192,-2.595,-1.819
118,1740,"SANTILLANA DEL MAR, ALTAMIRA",CANTABRIA,150,43.377,-4.124,9.000,22.664,,,0.180,28.393,-5.729,-1.796
119,1183X,LLANES,ASTURIAS,10,43.420,-4.748,9.000,22.387,,,0.187,28.340,-5.953,-1.796
120,9994X,BOSSÒST,LLEIDA,722,42.776,0.690,9.000,25.474,,,0.139,29.854,-4.380,-1.793
121,0312X,SANT PAU DE SEGÚRIES,GIRONA,851,42.258,2.364,9.000,26.644,,,0.129,30.628,-3.984,-1.779
122,2882D,PEÑAUSENDE,ZAMORA,1003,41.239,-5.897,9.000,28.493,,,-0.040,26.957,1.536,-1.778
123,1025X,"BEASAIN, ARRIARAN",GIPUZKOA,255,43.055,-2.232,9.000,26.170,,,0.101,29.225,-3.055,-1.776
124,1082,BILBAO AEROPUERTO,BIZKAIA,42,43.298,-2.906,9.000,25.912,,,0.108,29.193,-3.281,-1.774
125,9784P,BIELSA,HUESCA,992,42.630,0.225,9.000,28.457,,,0.031,29.207,-0.750,-1.771
126,1096X,"BARCENA DE CICERO, TRETO",CANTABRIA,10,43.397,-3.470,9.000,23.467,,,0.176,28.946,-5.479,-1.764
127,1049N,ELGETA,GIPUZKOA,470,43.138,-2.496,9.000,23.885,,,0.155,28.671,-4.786,-1.764
128,1124E,VILLACARRIEDO,CANTABRIA,196,43.246,-3.849,9.000,23.685,,,0.156,28.495,-4.810,-1.759
129,0363X,SANT HILARI,GIRONA,810,41.881,2.513,9.000,27.356,,,0.119,30.940,-3.584,-1.750
130,1387,A CORUÑA,A CORUÑA,57,43.366,-8.421,9.000,22.453,,,0.137,26.568,-4.115,-1.739
131,1037X,LEGAZPI,GIPUZKOA,460,43.052,-2.337,9.000,24.555,,,0.143,28.802,-4.247,-1.724
132,5996B,BARBATE,CADIZ,4,36.185,-5.909,9.000,28.884,,,0.079,31.034,-2.150,-1.723
133,3040Y,BETETA,CUENCA,1214,40.572,-2.076,9.000,28.115,,,0.030,28.646,-0.531,-1.719
134,1390X,"CARBALLO, DEPURADORA",A CORUÑA,98,43.204,-8.711,9.000,23.120,,,0.115,26.430,-3.310,-1.712
135,B236C,"PALMA, UNIVERSITAT",ILLES BALEARS,95,39.642,2.644,9.000,32.654,,,0.035,33.309,-0.655,-1.706
136,B825B,ES MERCADAL,ILLES BALEARS,80,39.991,4.086,9.000,29.954,,,0.135,33.853,-3.899,-1.697
137,9689X,TORRE DE CABDELLA ,LLEIDA,1273,42.466,0.991,9.000,25.193,,,0.136,29.122,-3.928,-1.692
138,C258K,LA OLIVA,LAS PALMAS,217,28.613,-13.932,9.000,26.345,,,0.137,30.282,-3.937,-1.690
