rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmin_media_verano,noches_trop_anio,noches_ecua_anio,tmin_tendencia,tmin_esperada,residual,score_refugio_noche
54,3130C,SIGÜENZA,GUADALAJARA,1005.000,41.086,-2.618,10.000,11.296,0.000,0.000,0.137,13.969,-2.673,-2.976
55,9201K,JACA,HUESCA,823.000,42.579,-0.547,6.000,12.991,1.333,0.000,0.083,14.573,-1.582,-2.965
56,3494U,NUÑOMORAL,CACERES,470.000,40.408,-6.240,10.000,14.198,1.300,0.000,0.065,15.387,-1.189,-2.961
57,2243A,AGUILAR DE CAMPOO,PALENCIA,910.000,42.798,-4.277,10.000,10.511,0.000,0.000,0.116,12.678,-2.167,-2.946
58,0349,SANT JULIÀ  DE VILATORTA,BARCELONA,578.000,41.926,2.317,9.000,15.162,0.556,0.000,0.106,17.110,-1.948,-2.917
59,1541B,VILLABLINO,LEON,958.000,42.929,-6.334,10.000,9.208,0.000,0.000,0.130,11.627,-2.419,-2.909
60,9935X,VALDERROBRES,TERUEL,483.000,40.873,0.146,10.000,15.108,1.900,0.000,0.119,17.392,-2.284,-2.897
61,9001D,REINOSA,CANTABRIA,870.000,42.992,-4.161,10.000,9.911,0.000,0.000,0.152,12.771,-2.860,-2.897
62,C428T,ARICO,SANTA CRUZ DE TENERIFE,418.000,28.181,-16.483,10.000,17.570,9.700,0.600,0.085,19.623,-2.053,-2.872
63,C048W,TINAJO,LAS PALMAS,275.000,29.043,-13.681,10.000,18.515,9.600,0.000,0.095,20.730,-2.214,-2.834
64,B236C,"PALMA, UNIVERSITAT",BALEARES,95.000,39.642,2.644,10.000,17.517,14.800,0.000,0.129,20.783,-3.266,-2.806
65,9726E,LLORAC,TARRAGONA,657.000,41.557,1.309,10.000,12.983,0.400,0.000,0.196,16.630,-3.647,-2.774
66,C665T,VALLESECO,LAS PALMAS,900.000,28.066,-15.566,10.000,15.228,13.000,1.000,0.113,17.943,-2.714,-2.756
67,9016X,"VALDERREDIBLE, CUBILLO DE EBRO",CANTABRIA,770.000,42.810,-4.032,10.000,10.710,0.000,0.000,0.155,13.369,-2.659,-2.723
68,9784P,BIELSA,HUESCA,992.000,42.630,0.225,10.000,11.786,0.000,0.000,0.139,14.091,-2.305,-2.719
69,4520X,FREGENAL DE LA SIERRA,BADAJOZ,586.000,38.178,-6.662,10.000,13.873,2.100,0.000,0.131,16.149,-2.275,-2.716
70,4464X,ALBURQUERQUE,BADAJOZ,283.000,39.182,-6.995,10.000,15.472,8.800,0.200,0.062,16.701,-1.230,-2.711
71,9994X,BOSSÒST,LLEIDA,722.000,42.776,0.690,10.000,13.071,0.200,0.000,0.138,15.342,-2.271,-2.701
72,2092,BURGO DE OSMA,SORIA,932.000,41.589,-3.087,10.000,11.576,0.500,0.000,0.137,13.792,-2.216,-2.675
73,9091R,VITORIA-GASTEIZ AEROPUERTO,ARABA/ALAVA,513.000,42.872,-2.733,10.000,12.500,0.200,0.000,0.148,14.925,-2.425,-2.670
74,9218A,ISABA/IZABA,NAVARRA,838.000,42.863,-0.925,10.000,10.874,0.000,0.000,0.190,14.187,-3.313,-2.665
75,5047E,BAZA,GRANADA,785.000,37.506,-2.735,10.000,15.437,3.300,0.000,0.108,17.163,-1.725,-2.639
76,C438N,CANDELARIA,SANTA CRUZ DE TENERIFE,463.000,28.359,-16.402,10.000,17.773,15.800,1.900,0.062,19.344,-1.571,-2.613
77,C419L,LOMO DEL BALO,SANTA CRUZ DE TENERIFE,403.000,28.207,-16.792,9.000,18.434,13.556,0.889,0.050,19.558,-1.124,-2.589
78,2298,PALACIOS DE LA SIERRA,BURGOS,1080.000,41.960,-3.132,10.000,10.200,0.100,0.000,0.168,12.897,-2.696,-2.575
79,9207,"VALLE DE HECHO, HECHO",HUESCA,860.000,42.741,-0.751,10.000,12.215,0.200,0.000,0.140,14.234,-2.018,-2.530
