indicativo,nombre,provincia,altitud_m,anios,noches_trop_peor_anio,peor_anio,noches_trop_mejor_anio,noches_trop_ultimo_anio,noches_trop_anio_medio,racha_max_historica,racha_max_en_un_anio,noches_ecua_peor_anio,tmin_p95,peor_noche,peor_noche_fecha,noche_mas_fria,noches_fuera_jja_anio
9961X,CABACÉS,TARRAGONA,363.0,9,59,2022,30,57,42.1,24,20,3,23.1,28.3,2024-07-31,-4.1,4.4
5641X,ÉCIJA,SEVILLA,130.0,9,59,2025,23,59,44.1,32,32,4,23.2,28.0,2021-09-06,-3.5,5.7
4064Y,ALCAZAR DE SAN JUAN,CIUDAD REAL,640.0,9,59,2025,27,59,44.6,24,24,2,22.8,26.2,2021-08-15,-6.8,1.2
7121A,CALASPARRA,MURCIA,350.0,9,59,2025,27,59,43.7,20,20,1,22.2,25.5,2023-08-03,-3.6,3.3
B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5.0,9,59,2022,28,53,47.9,29,24,3,23.0,27.4,2017-08-02,-2.4,7.7
7250C,ABANILLA,MURCIA,174.0,9,60,2025,20,60,39.9,21,21,2,22.1,25.3,2019-07-27,-2.7,5.4
4236Y,PUERTO REY,CACERES,689.0,9,60,2025,12,60,31.9,23,23,4,23.2,27.1,2018-08-04,-5.5,2.6
5983X,MEDINA SIDONIA,CADIZ,70.0,9,60,2025,28,60,45.3,12,12,6,23.5,27.1,2025-08-15,-2.0,12.3
6032X,RONDA INSTITUTO,MALAGA,760.0,8,60,2025,21,60,40.1,19,19,8,23.5,27.4,2023-07-18,-1.7,4.1
5796,MORÓN DE LA FRONTERA,SEVILLA,87.0,9,60,2025,18,60,43.6,32,32,3,22.3,27.2,2025-08-13,-2.9,5.4
7172X,MULA,MURCIA,255.0,9,61,2023,27,56,45.1,32,32,2,22.5,25.8,2023-08-03,-1.1,5.7
B656A,SANTA MARÍA DEL CAMÍ,BALEARES,121.0,9,61,2022,21,50,39.9,28,22,3,22.9,25.8,2022-08-14,-2.6,5.8
5906X,CHIPIONA,CADIZ,10.0,9,61,2025,19,61,41.9,33,33,4,21.6,26.3,2022-07-13,-0.2,8.2
5515X,GRANADA-CARTUJA,GRANADA,775.0,9,62,2025,12,62,38.1,28,28,3,22.2,26.0,2023-07-11,-4.6,1.6
5165X,TORRES,JAEN,910.0,9,62,2025,14,62,36.6,21,21,4,23.1,27.2,2021-08-15,-7.8,2.2
7227X,ALHAMA DE MURCIA,MURCIA,157.0,9,62,2023,25,50,42.9,32,32,1,22.3,25.5,2017-08-02,-4.0,4.9
B346X,PORRERES,ILLES BALEARS,120.0,5,62,2021,39,62,46.8,13,13,3,22.3,26.1,2017-08-03,-1.1,7.2
3463Y,TRUJILLO,CACERES,523.0,6,62,2022,28,61,49.7,24,24,8,23.5,27.6,2022-07-14,-2.9,4.8
4549Y,AYAMONTE,HUELVA,3.0,8,63,2023,28,46,44.4,14,14,1,22.6,26.3,2022-07-25,0.2,7.0
3362Y,CASTILLO DE BAYUELA,TOLEDO,560.0,9,63,2022,26,55,45.4,37,37,10,23.7,28.0,2023-08-22,-6.0,2.8
6367B,HUÉRCAL-OVERA,ALMERIA,300.0,9,63,2025,41,63,52.2,22,22,1,22.1,26.2,2024-07-30,-2.5,5.1
C258K,LA OLIVA,LAS PALMAS,217.0,9,63,2023,10,42,29.4,17,17,1,21.9,26.4,2020-08-26,7.3,14.3
B103B,ANDRATX - SANT ELM,BALEARES,52.0,7,63,2022,22,56,48.3,25,25,3,23.1,26.7,2019-07-07,0.1,10.1
B496X,SON SERVERA,BALEARES,25.0,9,63,2022,34,50,49.1,34,24,3,22.9,26.5,2017-08-02,-0.1,9.2
5164B,BAEZA,JAEN,771.0,9,63,2025,30,63,45.8,28,28,5,23.3,27.0,2021-08-15,-5.3,3.2
5910,"ROTA, BASE NAVAL",CADIZ,21.0,9,63,2023,34,61,51.4,18,18,6,22.7,28.2,2022-07-13,-1.5,10.1
3475X,CAÑAVERAL,CACERES,373.0,9,63,2022,29,59,48.9,23,23,11,24.0,30.4,2018-08-05,-4.8,7.6
6267X,SALOBREÑA,GRANADA,20.0,6,64,2025,30,64,41.8,27,27,2,22.3,26.7,2024-08-26,1.8,6.5
5656,FUENTES DE ANDALUCÍA,SEVILLA,165.0,8,64,2025,41,64,52.6,22,22,5,23.8,27.5,2023-08-23,-2.7,8.6
B614E,MANACOR,BALEARES,100.0,9,64,2022,30,37,42.4,24,24,2,22.4,26.1,2017-08-02,-2.2,7.3
3200,GETAFE,MADRID,620.0,9,64,2022,36,46,48.3,35,35,7,24.0,27.3,2025-08-12,-12.0,1.9
4325Y,CASTUERA,BADAJOZ,459.0,5,64,2025,44,64,56.8,24,24,14,24.4,29.8,2022-07-14,-1.8,7.0
B644B,SINEU,ILLES BALEARS,120.0,9,65,2022,35,44,45.0,26,26,3,23.0,26.5,2017-08-02,-1.8,6.3
5919X,OLVERA,CADIZ,530.0,9,66,2023,27,65,47.8,27,27,11,24.2,30.7,2021-08-14,-1.0,7.2
