indicativo,temporada,nombre,provincia,altitud,dias_tmin,dias_tmax,noches_calefaccion,noches_frias,heladas,heladas_fuertes,calefaccion_nucleo,heladas_nucleo,dias_terraza,dias_terraza_20,dias_lluvia,racha_terraza,racha_sin_terraza,racha_heladas,tmin_p05,tmin_min,tmin_min_fecha,tmax_max,tmax_max_fecha
0061X,2021-22,PONTONS,BARCELONA,632,151,151,148,103,21,1,88,20,12,5,15,4,51,11,-1.9,-3.8,2022-01-23,21.9,2021-12-31
0061X,2022-23,PONTONS,BARCELONA,632,150,150,138,90,26,3,88,22,34,16,12,11,48,8,-2.3,-3.7,2023-02-11,25.1,2023-03-30
0061X,2023-24,PONTONS,BARCELONA,632,152,152,139,71,6,0,86,6,33,17,19,9,28,2,0.2,-2.5,2024-01-09,23.5,2024-03-22
0061X,2024-25,PONTONS,BARCELONA,632,151,151,144,88,10,3,89,9,10,3,33,2,102,5,-0.5,-3.9,2025-01-13,24.5,2025-03-31
0061X,2025-26,PONTONS,BARCELONA,632,151,151,149,106,12,0,89,7,14,4,38,3,75,3,-0.5,-3.0,2026-01-06,22.2,2026-02-22
0066X,2017-18,VILAFRANCA DEL PENEDÈS,BARCELONA,177,150,150,144,102,19,0,86,19,40,17,23,8,35,5,-1.2,-2.4,2017-12-04,22.6,2017-11-24
0066X,2018-19,VILAFRANCA DEL PENEDÈS,BARCELONA,177,150,150,142,103,16,1,89,16,46,20,14,7,24,3,-1.4,-3.2,2019-01-12,24.8,2019-03-17
0066X,2019-20,VILAFRANCA DEL PENEDÈS,BARCELONA,177,152,152,139,67,7,0,85,6,44,16,21,6,35,5,0.2,-1.8,2020-01-13,24.8,2019-11-02
0066X,2020-21,VILAFRANCA DEL PENEDÈS,BARCELONA,177,151,151,139,66,18,1,85,17,43,17,11,13,33,7,-0.9,-4.0,2021-01-06,23.8,2020-11-01
0066X,2021-22,VILAFRANCA DEL PENEDÈS,BARCELONA,177,150,150,140,91,20,2,87,20,33,15,4,6,30,16,-1.7,-3.8,2022-01-15,22.4,2021-11-01
0066X,2022-23,VILAFRANCA DEL PENEDÈS,BARCELONA,177,151,151,132,80,23,2,88,20,67,41,11,21,18,10,-1.8,-4.6,2023-01-23,26.3,2023-03-31
0066X,2023-24,VILAFRANCA DEL PENEDÈS,BARCELONA,177,152,152,133,68,9,0,86,9,77,39,16,15,18,4,-0.1,-1.8,2024-01-13,27.1,2023-11-14
0066X,2024-25,VILAFRANCA DEL PENEDÈS,BARCELONA,177,151,151,130,66,8,1,86,8,47,18,28,8,20,4,-0.1,-3.1,2025-01-15,26.4,2025-03-31
0066X,2025-26,VILAFRANCA DEL PENEDÈS,BARCELONA,177,150,150,138,68,5,0,86,3,50,30,34,9,57,2,1.0,-2.0,2026-01-07,24.1,2025-11-01
0073X,2017-18,SITGES,BARCELONA,58,150,150,132,36,1,0,82,1,27,12,19,5,35,1,2.2,-0.5,2018-02-09,22.2,2018-01-04
