idema,nombre,provincia,altitud,lat,lon,noches,h20_mediana,h20_peor,h20_mejor,h18_mediana,h18_peor,noches_sin_alivio,cruce_20_tipico,nunca_cruza
1272B,"TINEO, SOUTU",ASTURIAS,280,43.290277777777774,-6.386666666666667,21,9,5,9,9,0,0,23,0
1475X,SANTIAGO DE COMPOSTELA,A CORUÑA,240,42.876111111111115,-8.555833333333334,21,9,5,9,7,0,0,23,0
1518A,LUGO,LUGO,442,42.998333333333335,-7.5525,23,9,5,9,9,0,0,23,0
2172Y,SARDÓN DE DUERO,VALLADOLID,725,41.61194444444445,-4.405555555555556,23,9,5,9,8,2,0,23,0
2235U,CERVERA DE PISUERGA,PALENCIA,1140,42.870555555555555,-4.52,23,9,5,9,9,0,0,23,0
2302N,MONTERRUBIO DE LA DEMANDA,BURGOS,1197,42.146388888888886,-3.1097222222222225,23,9,5,9,9,2,0,23,0
3040Y,BETETA,CUENCA,1214,40.57166666666667,-2.0763888888888893,23,9,5,9,8,4,0,23,0
3110C,BUITRAGO DEL LOZOYA,MADRID,1030,41.00694444444444,-3.613888888888889,23,9,5,9,8,1,0,23,0
8458X,CEDRILLAS,TERUEL,1380,40.43055555555555,-0.8494444444444444,23,9,5,9,9,4,0,23,0
9001D,REINOSA,CANTABRIA,870,42.99194444444444,-4.160555555555556,23,9,5,9,9,4,0,23,0
9218A,ISABA/IZABA,NAVARRA,838,42.862500000000004,-0.9247222222222222,23,9,5,9,9,2,0,23,0
9814I,"TORLA-ORDESA, EL CEBOLLAR",HUESCA,1905,42.65611111111111,-0.12444444444444444,23,9,5,9,9,0,0,23,0
9843A,SEIRA,HUESCA,825,42.47694444444445,0.4341666666666667,23,9,5,9,9,0,0,23,0
0360X,LES PLANES D'HOSTOLES,GIRONA,337,42.05277777777778,2.551111111111111,22,9.0,4,9,9.0,0,0,23,0
0413A,MAÇANET DE CABRENYS,GIRONA,355,42.386944444444445,2.7555555555555555,13,9,4,9,7,0,0,23,0
1002Y,"BAZTAN, IRURITA",NAVARRA,183,43.13583333333333,-1.5430555555555554,23,9,4,9,9,0,0,23,0
1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,43.08916666666667,-4.773888888888889,23,9,4,9,9,0,0,23,0
1174I,"CILLORIGO DE LIÉBANA, TAMA",CANTABRIA,250,43.18277777777777,-4.601666666666667,23,9,4,9,9,0,0,23,0
1199X,"PILOÑA, BARGAÉU",ASTURIAS,280,43.37777777777778,-5.396666666666667,23,9,4,9,9,0,0,23,0
1387D,A CORUÑA BENS,A CORUÑA,132,43.36333333333334,-8.441944444444445,23,9,4,9,7,0,0,23,0
1639X,CHANDREXA DE QUEIXA,OURENSE,990,42.26027777777778,-7.383611111111112,23,9,4,9,9,0,0,23,0
1658,FOLGOSO DO COUREL,LUGO,612,42.58861111111111,-7.191666666666667,23,9,4,9,9,0,0,23,0
1700X,O CARBALLIÑO,OURENSE,400,42.421388888888885,-8.092500000000001,23,9,4,9,8,0,0,23,0
1735X,XINZO DE LIMIA,OURENSE,616,42.07916666666667,-7.733611111111111,23,9,4,9,9,2,0,23,0
